"","true","estimated","tissue_spiked","spike_color"
"sample_197",0,0,"adipocyte",FALSE
"sample_198",0,0.00831135215416474,"adipocyte",FALSE
"sample_199",0,0,"adipocyte",FALSE
"sample_200",0,0,"adipocyte",FALSE
"sample_201",0.05,0,"adipocyte",TRUE
"sample_202",0.05,0.039154943435558,"adipocyte",TRUE
"sample_203",0.05,0.0171909438297947,"adipocyte",TRUE
"sample_204",0.05,0.0202104124268774,"adipocyte",TRUE
"sample_205",0.05,0.0191180897906006,"adipocyte",TRUE
"sample_206",0.05,0.0324416519052788,"adipocyte",TRUE
"sample_207",0.05,0,"adipocyte",TRUE
"sample_208",0.05,0,"adipocyte",TRUE
"sample_209",0.05,0.160658451434567,"adipocyte",TRUE
"sample_210",0.05,0,"adipocyte",TRUE
"sample_211",0.05,0.0880510899148252,"adipocyte",TRUE
"sample_212",0.05,0.102278964523665,"adipocyte",TRUE
"sample_213",0.05,0.168766637053088,"adipocyte",TRUE
"sample_214",0.05,0.0305566911878914,"adipocyte",TRUE
"sample_215",0.05,0,"adipocyte",TRUE
"sample_216",0.05,0.0118203999304743,"adipocyte",TRUE
"sample_217",0.05,0,"adipocyte",TRUE
"sample_218",0.05,0,"adipocyte",TRUE
"sample_219",0.05,0,"adipocyte",TRUE
"sample_220",0.05,0,"adipocyte",TRUE
"sample_221",0.05,0.170649544446714,"adipocyte",TRUE
"sample_222",0.05,0.070025844451107,"adipocyte",TRUE
"sample_223",0.05,0.146204134094002,"adipocyte",TRUE
"sample_224",0.05,0,"adipocyte",TRUE
"sample_225",0.05,0.0341210663207309,"adipocyte",TRUE
"sample_226",0.05,0.19071672373164,"adipocyte",TRUE
"sample_227",0.05,0.14892173552511,"adipocyte",TRUE
"sample_228",0.05,0.106624991562804,"adipocyte",TRUE
"sample_229",0.05,0.055745254269398,"adipocyte",TRUE
"sample_230",0.05,0.101704733157706,"adipocyte",TRUE
"sample_231",0.05,0.0475242171632045,"adipocyte",TRUE
"sample_232",0.05,0,"adipocyte",TRUE
"sample_233",0.05,0.0586418130078895,"adipocyte",TRUE
"sample_234",0.05,0.018028200304265,"adipocyte",TRUE
"sample_235",0.05,0.0561829025364637,"adipocyte",TRUE
"sample_236",0.05,0.110783845768522,"adipocyte",TRUE
"sample_237",0.05,0.168605823662789,"adipocyte",TRUE
"sample_238",0.05,0.0905793655707326,"adipocyte",TRUE
"sample_239",0.05,0.204645421267508,"adipocyte",TRUE
"sample_240",0.05,0.171056385058763,"adipocyte",TRUE
"sample_241",0.05,0.128567264978984,"adipocyte",TRUE
"sample_242",0.05,0.120100126816688,"adipocyte",TRUE
"sample_243",0.05,0.0997526713320303,"adipocyte",TRUE
"sample_244",0.05,0.14473887026687,"adipocyte",TRUE
"sample_245",0.05,0,"adipocyte",TRUE
"sample_246",0.05,0.119060371599471,"adipocyte",TRUE
"sample_247",0.05,0.051664819946205,"adipocyte",TRUE
"sample_248",0.05,0,"adipocyte",TRUE
"sample_249",0.05,0.144285528296383,"adipocyte",TRUE
"sample_250",0.05,0,"adipocyte",TRUE
"sample_251",0.05,0.00415255214253491,"adipocyte",TRUE
"sample_252",0.05,0.014479013197481,"adipocyte",TRUE
"sample_253",0.05,0.0527817867614084,"adipocyte",TRUE
"sample_254",0.05,0,"adipocyte",TRUE
"sample_255",0.05,0.184072340493445,"adipocyte",TRUE
"sample_256",0.05,0,"adipocyte",TRUE
"sample_257",0.05,0.254084781371564,"adipocyte",TRUE
"sample_258",0.05,0.177426823586486,"adipocyte",TRUE
"sample_259",0.05,0.0350991347456329,"adipocyte",TRUE
"sample_260",0.05,0,"adipocyte",TRUE
"sample_261",0.05,0.11592030579177,"adipocyte",TRUE
"sample_262",0.05,0.112037115898313,"adipocyte",TRUE
"sample_263",0.05,0.0304325955213082,"adipocyte",TRUE
"sample_264",0.05,0.055442060543621,"adipocyte",TRUE
"sample_265",0.05,0,"adipocyte",TRUE
"sample_266",0.05,0.0397770599776757,"adipocyte",TRUE
"sample_267",0.05,0,"adipocyte",TRUE
"sample_268",0.05,0.065326977414872,"adipocyte",TRUE
"sample_269",0.05,0.0292526791225482,"adipocyte",TRUE
"sample_270",0.05,0,"adipocyte",TRUE
"sample_271",0.05,0.121513268383573,"adipocyte",TRUE
"sample_272",0.05,0.149059216431705,"adipocyte",TRUE
