"methods","tissue_spiked","aitchison_median","diff_aitchison"
"AutoGeneS","artery",0.584569757268474,0.123076446120302
"AutoGeneS","bladder",0.610292024588219,0.137314752675069
"AutoGeneS","bone",0.797536391884869,0.350327953520673
"AutoGeneS","bowel",0.966321311612801,0.319319943870885
"AutoGeneS","brain",0.0921049374742014,-0.283200683000266
"AutoGeneS","heart",0.508084241008915,0.149797688503748
"AutoGeneS","kidney",0.231825347092034,-0.364302319469006
"AutoGeneS","liver",0.0972435758865166,-0.220971472275431
"AutoGeneS","lung",0.82270972658301,0.0427990541066475
"AutoGeneS","lymph node",0.48442213784402,-0.0461463247680497
"AutoGeneS","nerve",1.91485438951012,1.14884692077251
"AutoGeneS","pancreas",0.141910253359944,-0.426837619622146
"AutoGeneS","salivary gland",0.278178554899534,-0.248380996234892
"AutoGeneS","skin",0.202729106992391,-0.18582335057091
"AutoGeneS","spleen",0.326502619776587,-0.386399839789169
"AutoGeneS","stomach",2.67145382064468,1.87779659861756
"MCP-counter","adipocyte",1.07382841955091,0.41110720785597
"MCP-counter","artery",1.10895359774864,0.647460286600468
"MCP-counter","bladder",0.9030320793258,0.43005480741265
"MCP-counter","bone",1.40262825810082,0.955419819736625
"MCP-counter","bowel",1.23695106340952,0.589949695667608
"MCP-counter","brain",1.00220925525532,0.62690363478085
"MCP-counter","heart",0.983570412881154,0.625283860375987
"MCP-counter","kidney",1.07304131416382,0.476913647602783
"MCP-counter","liver",1.00870854521513,0.690493497053182
"MCP-counter","lung",1.40095873714719,0.621048064670825
"MCP-counter","lymph node",0.737608923915705,0.207040461303636
"MCP-counter","salivary gland",1.93892094661375,1.41236139547932
"MCP-counter","skin",2.40094921773003,2.01239676016673
"MCP-counter","spleen",2.48547221007099,1.77256975050524
"RLE","adipocyte",0.675132019254255,0.0124108075593165
"RLE","artery",0.649969919939517,0.188476608791345
"RLE","bladder",0.608739802792355,0.135762530879205
"RLE","bone",0.529285394357983,0.0820769559937877
"RLE","bowel",0.669511368139683,0.0225100003977662
"RLE","brain",0.428261821342465,0.0529562008679983
"RLE","heart",0.461432903228659,0.103146350723491
"RLE","kidney",0.670524841883218,0.074397175322178
"RLE","liver",0.452794189444168,0.134579141282221
"RLE","lung",0.593218456021369,-0.186692216454993
"RLE","lymph node",0.60565456982414,0.075086107212071
"RLE","nerve",0.854644144481969,0.0886366757443577
"RLE","pancreas",0.588159082652719,0.0194112096706289
"RLE","salivary gland",0.573324599520052,0.0467650483856252
"RLE","skin",0.411771899991123,0.0232194424278219
"RLE","spleen",0.82823776756515,0.115335307999394
"RLE","stomach",1.01445218116889,0.220794959141774
"RNAAtlas","adipocyte",0.514541868925623,-0.148179342769315
"RNAAtlas","bladder",0.466163908871768,-0.00681336304138191
"RNAAtlas","bowel",0.574884575659314,-0.072116792082603
"RNAAtlas","brain",0.369187756013465,-0.00611786446100238
"RNAAtlas","heart",0.446853600925407,0.0885670484202398
"RNAAtlas","kidney",0.584393722654707,-0.0117339439063329
"RNAAtlas","liver",0.526551803051749,0.208336754889802
"RNAAtlas","lung",0.447215121186074,-0.332695551290288
"RNAAtlas","lymph node",0.467224938512739,-0.0633435240993306
"RNAAtlas","pancreas",0.468921403409025,-0.0998264695730649
"RNAAtlas","spleen",0.570886016618929,-0.142016442946827
"RNAAtlas","stomach",0.671091590258407,-0.122565631768713
"AutoGeneS-sig","adipocyte",1.05486916582686,0.392147954131918
"AutoGeneS-sig","artery",0.731660251247571,0.270166940099399
"AutoGeneS-sig","bladder",0.806412986092815,0.333435714179665
"AutoGeneS-sig","bone",0.684477567718205,0.237269129354009
"AutoGeneS-sig","bowel",0.988353488834683,0.341352121092766
"AutoGeneS-sig","brain",0.515948581699482,0.140642961225014
"AutoGeneS-sig","heart",0.572788031507433,0.214501479002265
"AutoGeneS-sig","kidney",1.09964379141382,0.503516124852778
"AutoGeneS-sig","liver",0.333844360985465,0.0156293128235177
"AutoGeneS-sig","lung",0.770902220701917,-0.00900845177444465
"AutoGeneS-sig","lymph node",0.609351762874137,0.0787833002620678
"AutoGeneS-sig","nerve",1.52974216503079,0.763734696293179
"AutoGeneS-sig","pancreas",0.821718383703694,0.252970510721604
"AutoGeneS-sig","salivary gland",0.834394971925249,0.307835420790822
"AutoGeneS-sig","skin",0.441400494079673,0.0528480365163715
"AutoGeneS-sig","spleen",1.21682542500889,0.503922965443133
"AutoGeneS-sig","stomach",1.13510775992993,0.341450537902805
"CIBERSORT-sig","adipocyte",0.725869593000561,0.0631483813056227
"CIBERSORT-sig","artery",0.630198590327898,0.168705279179726
"CIBERSORT-sig","bladder",1.07766503592646,0.604687764013312
"CIBERSORT-sig","bone",0.610140129523212,0.162931691159016
"CIBERSORT-sig","bowel",1.01852255521002,0.371521187468106
"CIBERSORT-sig","brain",0.450896973452345,0.0755913529778775
"CIBERSORT-sig","heart",0.623036722707406,0.264750170202239
"CIBERSORT-sig","kidney",0.635973525016179,0.0398458584551383
"CIBERSORT-sig","liver",0.482439710194786,0.164224662032839
"CIBERSORT-sig","lung",0.848070935456213,0.0681602629798508
"CIBERSORT-sig","lymph node",1.17940784721234,0.648839384600269
"CIBERSORT-sig","nerve",0.767010993591366,0.00100352485375454
