"miRNA","adipocyte","artery","bladder","bone","bowel","brain","esophagus","heart","kidney","liver","lung","lymph_node","muscle","nerve","pancreas","pleurae","salivary_gland","skin","spleen","stomach","testis","thyroid","vein"
"hsa-miR-6796-5p",0.0703311939985595,0.00909339618750023,0.0111077972384253,0.10152917672857,0.00924553719717381,0.107956606315966,0.0629011751669008,0.0357697102408423,0.0547837107777953,0.0955557396112987,0.208243566583332,0.110142876369517,0,0.0329353511691048,0.0290716072403138,0.0941575434819663,0.0285862854998725,0.0382097239252049,0.138563167092573,0.0138944053327393,0.0721465967699889,0.0584252114370781,0.0342891701147331
"hsa-miR-6797-3p",0.00703139292488956,0.012570742459643,0,0.0206759094569894,0.00551204898361574,0.00282202006475255,0.0590726099743621,0,0.00894320134128072,0.0844295550492647,0.00676072026776685,0,0,0.00828481004579227,0,0,0.0142931427499362,0,0,0,0.0508244432769943,0.00668925145621566,0
"hsa-miR-6797-5p",0,0,0,0,0.0168818687943636,0.00720870641587306,0,0.0128836793927822,0.0165367175521762,0,0.0250722888594398,0,0,0,0,0,0,0,0.0144125650168448,0.0257618632510823,0.0508244432769943,0,0
"hsa-miR-6798-3p",0.054966250440845,0.0223045074106352,0.0685424867913181,0.172923580177301,0.0712773341261974,0.181235113933001,0.0241623405967431,0.116354181965916,0.0268296040238422,0.073539470792461,0.0457682168064847,0.0207286135168222,0.104528701833127,0.0578520458882077,0.192015094486685,0.047427519794607,0.0583422894337161,0.0337512911019992,0.0720019394880495,0.0362147947897185,0.0849632167382044,0.038020854318596,0.0386100552386723
"hsa-miR-6798-5p",0,0,0,0,0,0.00816656142153785,0,0.00639923036088834,0,0,0,0.0199775707368777,0,0.00259026532203533,0,0.0124834137122596,0,0,0,0,0,0,0
"hsa-miR-6799-3p",0.224824655281167,0.238960605005925,0.11594696451461,0.252227826148939,0.204723717814816,0.243042363777415,0.0941155592706816,0.12540477935822,0.0979199130556938,0.137947379153879,0.214532651614092,0.286445375335789,0.191587198510368,0.142483825283942,0.0614278489203443,0.117501494313242,0.0563937393805283,0.126054937499306,0.073248988194989,0.110497414443626,0.267728239763785,0.0993871489718738,0.37422577128133
"hsa-miR-6799-5p",0.00859115375257123,0,0,0.112449241039149,0,0.0198848275509775,0.0104699955836021,0.0211640306716838,0,0.00442002760604859,0,0,0,0,0,0,0,0,0.0339028583392279,0,0.0224427356770559,0.00668925145621566,0.00823779566579752
"hsa-miR-6800-3p",0.016934823307211,0,0,0,0.0267398435820134,0.0542792450052663,0,0.00639923036088834,0.0179762525194851,0.0407402919011409,0,0,0.011814300921675,0.0391832547484656,0,0.0106747747650759,0,0,0.0151125787237955,0.00647310658124484,0.0508244432769943,0.00668925145621566,0
"hsa-miR-6800-5p",0.121019826452907,0,0.0302039891612419,0.034960672337848,0.0780562409123045,0.0823841089138832,0.131058204826044,0.0692860685027871,0.0461446942149031,0.00965828197572245,0.044398043446625,0,0,0.020111794521536,0.0338852245489215,0.0444981804458809,0,0.027820510948467,0.0820367899063067,0.0487840381691795,0.44886004542552,0.0450467085246468,0.0413331047870466
"hsa-miR-6801-3p",0.0221613962582418,0.0362569788047564,0.041992392114737,0.0142098575832531,0.0518254172922645,0.059763449452559,0.0187226006894349,0.0337458448646824,0.00426359236251178,0,0.0145160637391124,0.0207286135168222,0,0.0402576778684286,0,0,0.0142931427499362,0.034394969083599,0,0.0317510589539643,0.011221367838528,0,0.0247133869973925
"hsa-miR-6801-5p",0.0291826702613165,0.0313979035981354,0,0.0646138261780173,0.0325159464372261,0.0132507556642666,0,0.0143472563279759,0,0,0.0213773852785368,0.0207286135168222,0.0172714497670255,0.0208528635766749,0,0.00533738738253794,0,0.0510567875123941,0.098698515318855,0.0277888106654787,0.116562730062875,0.00668925145621566,0.0166197177896541
"hsa-miR-6802-3p",0.140358663559288,0.119542148712203,0.174062259782573,0.197983277398599,0.213660346406497,0.204342473494827,0.168022636945719,0.212690984177905,0.0751923968749099,0.1286628517281,0.218954171386787,0.312169491717263,0.249758699887769,0.164572549226453,0.17832573410196,0.255036517839546,0.182695529272304,0.11074962333818,0.323555580723503,0.214241793916345,0.118321323167754,0.102030471042697,0.221806030337479
"hsa-miR-6802-5p",0.0854741426096398,0.00909339618750023,0.0487656891534317,0.217443611700682,0.033989011679887,0.115082875252818,0.1126959888566,0.0325476899345502,0.00476945881569262,0.0415428644086874,0.0210561232990529,0.0299663561053166,0.0463572004557259,0.0308197408697569,0.0299494330257266,0,0.0343691660386383,0.0458011537978541,0.0411091408476503,0.0138944053327393,0.0237319907207093,0.0506311138116701,0.0913363846140679
"hsa-miR-6803-3p",0.642113945880926,0.489506794193052,0.645976024762278,0.62374079107372,0.710367737577968,0.961682966546994,0.865549418117479,0.635260594971162,0.656534532516256,0.716532356012725,0.78101118542422,1.55232419141197,0.774903463357466,0.665192685287535,0.647465345250203,0.667628993204165,1.059133513523,0.432969107645004,0.793097034984144,0.590313925290714,0.669360170696859,0.991489230308837,1.04840135420761
"hsa-miR-6803-5p",0.107273710318687,0.013211111223135,0.0302039891612419,0.196217783692216,0.976523227994087,0.0179332031590278,0.0648822257864768,0.0183493749263429,0.0726938162157298,0.895789562717089,0.096156708295785,0.267489525417275,0,0.0100461992568213,1.43737339625734,0.0444981804458809,0,0.0410911586105829,0.102408588724634,0.079258392804677,0.0118659953603547,0.0972624371051836,0.0688665931455842
"hsa-miR-6804-3p",0,0,0,0.00931913997750924,0.00328807144671988,0.0196857649658116,0,0.00644647024924614,0.00920849995970776,0.0283735742277175,0.0103039449256618,0.0414572270336445,0,0.00738752288681192,0,0,0,0,0.00720628250842241,0,0.0182743053444624,0.0320048083620507,0
"hsa-miR-6804-5p",0.162990508527546,0.134251594815061,0.0598734863918571,0.336384349250191,0.142849520331227,0.481043085761247,0.170340332430877,0.161612600887358,0.2078366041451,0.128150182615414,0.271081197906666,0.207288355529087,0.0581715013774009,0.156839343765939,0.135925685714112,0.198655186893727,0.20432921579944,0.163022821847529,0.261222948442716,0.326089040608966,0.13130790071217,0.228482444432802,0.374868021612047
"hsa-miR-6805-3p",0.0166897641610339,0,0,0.00931913997750924,0.0887604386842254,0.0158361730393256,0.0241623405967431,0.027651394386543,0.018747417591093,0.765104249813056,0.0123713450068042,0.0264751591614187,0,0.0157504419845249,0.0317243460495093,0,0,0,0.0339028583392279,0.0110921899920592,0,0,0
"hsa-miR-6805-5p",0.128895472349285,0.0997510598664635,0.0302039891612419,0.253304144175996,0.0469276947571342,0.169765478146082,0.11244918071321,0.0629509999044043,0.126610868336392,0.0312167176585958,0.288938805260718,0.0906501110958943,0.0990715529877764,0.0871615239809282,0.290353801308676,0.194535732807658,0,0.165363051994213,0.399876908846972,0.111066938057097,0.126658183832941,0.0899388217537566,0.164226275040877
"hsa-miR-6806-3p",0.0336937729858727,0.0251414849192861,0.0524195836380925,0.0217509010319692,0.0371238128309673,0.0223387313227218,0.0699520897889785,0.0216012429146898,0.0368135199475018,0.0431527079860549,0.0210811424311248,0.0207286135168222,0.0527143525320504,0.0252800190303728,0,0.0142920526594434,0.0506108588417624,0.0134215740036534,0,0.0362712879922141,0.0224427356770559,0.0555710977554897,0.0414772312451057
"hsa-miR-6807-3p",0.0099034303823214,0,0.0154422974381558,0.165407275655915,0.0233211805038207,0.00954757732109551,0.0209399911672042,0.00279997659883511,0.0254799188934569,0,0,0.0414572270336445,0.0172714497670255,0.0251348941499467,0,0.0242693313172715,0,0,0.0151125787237955,0,0.011221367838528,0,0.0166197177896541
"hsa-miR-6807-5p",0.0355010180114859,0.0782035271645648,0.112973675745019,0.1662334115194,0.080982181690775,0.112258188563176,0.119418620912952,0.0628111218770533,0.143981167143377,0.0175259074944858,0.104732784223005,0.0199775707368777,0.476490668079872,0.119103891170632,0.0557364058263239,0.0576790902653883,0.0363177160918262,0.142596483491079,0.0288251300336896,0.12636502851752,0.180841804228903,0.0566759439246821,0.0772578501960368
"hsa-miR-6808-3p",0.143037562638506,0.217266370373855,0.0642079865915876,0.0487183214369931,0.0693837425980431,0.282155882770406,0.112755829409868,0.133955982493038,0.0998952441736041,0.122552737739969,0.18799024227498,0.0721746259189056,0.0881572552970754,0.103805121365172,0.0616737790752359,0.0391703506249493,0.193091571915865,0.27632580162177,0.0360314125421121,0.110030378622486,0.162737456460641,0.135322133028239,0.17769056390798
"hsa-miR-6809-3p",0.350325374431238,0.201438840561153,0.249912535543213,0.0245772180470413,0.239880746666192,0.0463326905369305,0.11724309653131,0.151179415206538,0.0227457113351777,0.0423773374581691,0.0859303260675034,0.0199775707368777,0.0989721752933464,0.115463491080207,0.0314784158946177,0.130585171237823,0.0428794282498087,0.0500542997910307,0.06993427088134,0.206761653122826,0.0420062960651718,0.128998268478325,0.0994987008424808
"hsa-miR-6809-5p",4.7973594718373,7.11567444058211,2.89517164155605,0.438070079591385,1.7679604527353,0.496866223470354,3.10001923759363,1.1632455600326,1.52770825237319,0.354243287370307,1.26654235832232,0.5686507313086,0.342473100799221,1.39507320109935,0.81451927753122,1.17595106318327,0.345315035255907,1.32671347640419,0.671281267349789,2.03341884787595,2.2303246931267,1.22246449177617,1.75956238647765
"hsa-miR-6810-3p",0.0183187105063434,0.012570742459643,0.041992392114737,0.100528499939384,0.0392876007620748,0.110695016752854,0.0104699955836021,0.0438756763512982,0.0944230989173475,0.311272262138536,0.109877293840262,0.082916674428154,0.0345428995340509,0.0476769148465709,0.0951730381485277,0.0469157860412991,0.0822526432079961,0.0551859501039491,0.061846482876973,0.0249865953247985,0.0420062960651718,0.0485452435494389,0.115523242946707
"hsa-miR-6810-5p",0.0859666859537483,0.0418730287201138,0.0574346895528928,0.0979637566556997,0.0590973864720118,0.251038415442011,0.0491885979266996,0.0832006234452977,0.186945959517999,0.40255463441015,0.275580020719123,0.0364639445298576,0,0.0530001687073735,0.120940749496168,0.141249534315599,0.0220245733418899,0.141575559928614,0.178790802444279,0.113696229153811,0.228601118987554,0.308138441785864,0.116118418632135
"hsa-miR-6811-5p",0,0,0.0154422974381558,0.00931913997750924,0.00254267539576054,0.000827496192388941,0,0.0248593105069453,0,0,0.0335532337618078,0,0,0,0,0.00533738738253794,0.0343691660386383,0,0,0,0.0182743053444624,0.00843851896861168,0
"hsa-miR-6812-3p",0.0194551135075443,0.0394175152571622,0.0222155944768506,0.00710492879162655,0.0424091693779758,0.0679451023899699,0.0381123865800977,0.0300410686917767,0.0421108731299991,0.0234915959906091,0.0362635066396524,0.0499439268421943,0.0698864246046459,0.105942822191341,0,0.0214380789891651,0,0.0770169056824825,0.00720628250842241,0.040660953956567,0.0182743053444624,0.020067754368647,0.0699163276810091
"hsa-miR-6812-5p",0.0255259770597822,0.0327796325326135,0.0154422974381558,0.0456057003600424,0.044485839302593,0.037531625942016,0.05973979517559,0.0167296117422834,0.00852718472502356,0.0175259074944858,0.0678937936674264,0.0407061842537,0,0.0255011752179196,0.0186543581760861,0.0289092225925617,0,0.034394969083599,0.0266965758308055,0,0.0118659953603547,0,0
