Mixture	bladder	lymph_node	muscle	salivary_gland	spleen	testis	adipocyte	artery	bone	esophagus	skin	stomach	kidney	liver	nerve	lung	heart	bowel	brain	pancreas	pleurae	thyroid	vein	P-value	Correlation	RMSE
SY127	0	0	0	0	0.264088155121708	0	0.214064548011506	0.00326799060180052	0.258425611482759	0	0.00449354026924375	0.0722711255505655	0.0271564081066455	0.026276201587188	0.0344839940206708	0.0563981433434427	0.00256467140568952	0.0108614863349337	0.0174531197836021	0.00819500438024531	0	0	0	9999	0.149923776051951	0.99663635635828
SY128	0	0	0	0	0.224783387005279	0	0.227846219742663	0.0130091603188963	0.298492428527693	0	0	0.0751120305102939	0	0.0265778669885038	0.0831285614948506	0	0.0119835822678936	0.015081669753345	0.0215504070713695	0.00243468631921222	0	0	0	9999	0.14049479407675	1.00469108334899
SY130	0.0116198380361973	0	0	0	0.265027141661117	0	0.185862209211813	0.00582665227411954	0.238885420608356	0	0.00602842521190834	0.0501749239087164	0.023591528175964	0.0274887325614619	0.061658840708312	0.0739322803017686	0	0.0216535766362356	0.00976957593490853	0.0184808547691215	0	0	0	9999	0.145951759972115	1.00053766081821
SY135	0	0	0	0	0.272410344502954	0	0.1501533160614	0.0100322573142104	0.306844331896872	0.00298284382642751	0	0.0441838788377643	0.0150430870179342	0.0287797833896056	0.0580071852141896	0.0691226513918973	0.0236186844459491	0.00565932687308362	0.0109596545248003	0.00220265470291227	0	0	0	9999	0.190275444439152	0.983596393477505
SY136	0.00457316968612219	0	0	0	0.269677096756915	0	0.207624208455265	0	0.266803397720716	0	0.00468144495454331	0.0722397136969865	0.00857364463327575	0.0278997057767857	0.03418646923513	0.0742322756306663	0.00146145369355259	0.0144949164155326	0.012779120114203	0.000773383230305714	0	0	0	9999	0.136665925990221	1.00245268337927
SY137	0.0215960889863723	0	0	0	0.262378773839211	0	0.16281996865005	0	0.212394091434583	0	0.00605243696731597	0.0550940728116148	0.0273007296740463	0.0281595930543296	0.0478949699791365	0.129578100480677	0	0.0244420619298697	0.00934243718603124	0.0129466750067633	0	0	0	9999	0.108258976895313	1.01824686922792
SY138	0	0.0273717463224288	0	0	0.285295823411751	0	0.235974413524911	0.0239895702437598	0.242575039821603	0.00407263573072563	0	0.0448913516892489	0	0.0386981077603016	0.0535788775410186	0	0	0.0306642214644656	0.0128882124897869	0	0	0	0	9999	0.135785883320881	1.00287308426449
SY140	0	0	0	0	0.21166467047492	0	0.19678269913777	0.0457786825550184	0.308187598550537	0.0121008549712212	0	0.0731839962641457	0.00452113232743514	0.0235711803970581	0.0611634567134345	0	0.0235975445587175	0.021985333468711	0.0174628505810319	0	0	0	0	9999	0.123245067617567	1.02520664293021
SY141	0	0.0182393546012625	0	0	0.304271714801197	0	0.209224906743859	0.0500575771572387	0.243463119882697	0	0.000395371873347359	0.0410959468880068	0.0018149278309622	0.0362553612197064	0.0496110181436179	0	0.00424627757519784	0.0259074993933919	0.0154169238895146	0	0	0	0	9999	0.145374442004402	1.00384486995345
SY142	0	0	0	0.00938653418376148	0.201499164807189	0	0.260142259705472	0.0645161844751611	0.225696383774878	0	0.0064289225277203	0.0823830797835213	0	0.0200365890042316	0.0896883083340069	0	0	0.0402225734040583	0	0	0	0	0	9999	0.0772721620872333	1.06265066908983
SY145	0.00681524606865566	0	0	0	0.285855113582597	0	0.116180761230436	0	0.267158765094548	0	0.00458486629036053	0.0591984034557962	0.0202485461098307	0.0254069993810731	0.0322043870296509	0.129237078103883	0.015472573068786	0.0170738931921944	0.009030245812122	0.0115331215800668	0	0	0	9999	0.153199210348929	0.996996655290752
SY147	0	0	0	0	0.257203261464009	0	0.197939887801863	0.0189684563368228	0.245761411339305	0	0.00718927712765113	0.0790732697101684	0.0277097992454507	0.0240645321599759	0.0800353448026339	0.0240508956714041	0.00113438914516902	0.0173851710465045	0.00651753902879037	0.0129667651202521	0	0	0	9999	0.125360693873048	1.01257001643451
SY149	0	0	0	7.6157161970126e-08	0.174261718121639	0	0.219176636036926	0.0556755067921562	0.30615161853427	0.0135115299647373	0	0.0681991667608411	0	0.0225900650727017	0.08168739078971	0	0.0196201916304315	0.0172383184116446	0.0198202810985318	0.0020675006292494	0	0	0	9999	0.14556343290541	1.0206480736566
SY150	0	0	0	0.00518511015552463	0.237831267130928	0	0.208373758002294	0.0458782192434097	0.28467145797315	0	0.00814486683150447	0.119702066750825	0.00464420358992333	0.0211800269369995	0.0493529569805627	0	0.00350460971287382	0.00425226440791561	0.00727919228409013	0	0	0	0	9999	0.105346795146093	1.04021377754197
SY152	0	0	0	0.00995390155058273	0.255449136705125	0	0.20317767503987	0.0390448630770414	0.252785035497783	0	0.00834823355132626	0.101660554379883	0	0.046648088698436	0.0612511106743573	0	0	0	0.0185470772491572	0.00313432357643851	0	0	0	9999	0.123028617312257	1.02175184625417
SY153	0	0	0	0.00399871370484346	0.235280959283556	0	0.192807243771078	0.0282112270667024	0.284315901100813	0	0.00357225893227753	0.0769050119245435	0.0306210289302376	0.0266218187783905	0.067357928103915	0.0035099683284578	0.0120554194352576	0.0205944897831238	0.0116957972757932	0.00245223358101015	0	0	0	9999	0.105895679601936	1.02129123027348
SY156	0	0	0	0	0.27517701098265	0	0.14206510868903	0.016755342751005	0.259927069691562	0	0.00379038253869375	0.0502079882537017	0.0332821937381247	0.0273442677356491	0.0601781530296021	0.0716995749741131	0.0167343666180803	0.020949470713373	0.00737133869584958	0.0145177315885657	0	0	0	9999	0.161248537574545	0.994663844572367
SY159	0.00415015393629936	0	0	0	0.267644221375411	0	0.186857769708555	0.000201993272493075	0.232148241288268	0	0.00725064278906568	0.058512569233733	0.017150302237083	0.0325463685302257	0.042788900194413	0.0821657700881993	0	0.0386986213715151	0.016273989503974	0.0136104564707648	0	0	0	9999	0.13180582709709	1.00472696707103
SY163	0	0	0	0	0.250968074249417	0	0.186147090973931	0.0370288080420612	0.264049899796086	0	0.00367690229638281	0.0772091946139155	0.0206359980966455	0.0253153276705864	0.0731251857658801	0.00877556082931816	0.0106600760670055	0.014843368648173	0.0135328074960134	0.0140317054545843	0	0	0	9999	0.119308842432414	1.01883715050478
SY164	0	0	0	0	0.280258414932834	0	0.169002351312855	0.0068444616073964	0.245350134535021	0	0.00731686607523965	0.0804540452533797	0.0276259714405718	0.0362958955565586	0.0551445260869362	0.0750694735140756	0	0.00916641336292977	0.00114578557835586	0.00632566074384695	0	0	0	9999	0.136245349488929	1.00438629591057
SY165	0.0166505985386037	0	0	0	0.268049293464663	0	0.147024146405934	0	0.250932081549936	0	0.00364279903444687	0.0548245726416024	0.0190155105858459	0.0526019699003702	0.0245604224642686	0.107063152954917	0.000714564387427229	0.0147802801119815	0.0299724653377552	0.0101681426222488	0	0	0	9999	0.142803792103681	1.00049361021481
SY166	0.0376610197370166	0	0	0	0.261298738976435	0	0.140751515718704	0	0.222489694364591	0	0.00363867328743894	0.0494992801306159	0.0378130218310587	0.0283341481400476	0.0246852601802409	0.150391302009804	0.00122901076619649	0.0108659153355997	0.0114751572357107	0.0198672622865402	0	0	0	9999	0.124390189342766	1.01474432774736
SY168	0	0	0	0	0.261323901741016	0	0.147144315966925	0	0.264644967736119	0	0.0035196408888753	0.0633729565605727	0.0341158881002515	0.0237626375956083	0.0485966908908088	0.0912366075070264	0.0142273028968008	0.013396556811215	0.0119332657395274	0.0227252675652536	0	0	0	9999	0.149332275075475	0.996159729582802
