"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MIMAT0019760","hsa-miR-4677-5p;","hsa_miR_4677_5p;","hsa_miR_4677_5p","hsa_miR_4677_5p"
"MIMAT0019761","hsa-miR-4677-3p;","hsa_miR_4677_3p;","hsa_miR_4677_3p","hsa_miR_4677_3p"
"MIMAT0019762","hsa-miR-4678;","hsa_miR_4678;","hsa_miR_4678","hsa_miR_4678"
"MIMAT0019763","hsa-miR-4679;","hsa_miR_4679;","hsa_miR_4679","hsa_miR_4679"
"MIMAT0019764","hsa-miR-4680-5p;","hsa_miR_4680_5p;","hsa_miR_4680_5p","hsa_miR_4680_5p"
"MIMAT0019765","hsa-miR-4680-3p;","hsa_miR_4680_3p;","hsa_miR_4680_3p","hsa_miR_4680_3p"
"MIMAT0019766","hsa-miR-4681;","hsa_miR_4681;","hsa_miR_4681","hsa_miR_4681"
"MIMAT0019767","hsa-miR-4682;","hsa_miR_4682;","hsa_miR_4682","hsa_miR_4682"
"MIMAT0019768","hsa-miR-4683;","hsa_miR_4683;","hsa_miR_4683","hsa_miR_4683"
"MIMAT0019769","hsa-miR-4684-5p;","hsa_miR_4684_5p;","hsa_miR_4684_5p","hsa_miR_4684_5p"
"MIMAT0019770","hsa-miR-4684-3p;","hsa_miR_4684_3p;","hsa_miR_4684_3p","hsa_miR_4684_3p"
"MIMAT0019771","hsa-miR-4685-5p;","hsa_miR_4685_5p;","hsa_miR_4685_5p","hsa_miR_4685_5p"
"MIMAT0019772","hsa-miR-4685-3p;","hsa_miR_4685_3p;","hsa_miR_4685_3p","hsa_miR_4685_3p"
"MIMAT0019773","hsa-miR-4686;","hsa_miR_4686;","hsa_miR_4686","hsa_miR_4686"
"MIMAT0019774","hsa-miR-4687-5p;","hsa_miR_4687_5p;","hsa_miR_4687_5p","hsa_miR_4687_5p"
"MIMAT0019775","hsa-miR-4687-3p;","hsa_miR_4687_3p;","hsa_miR_4687_3p","hsa_miR_4687_3p"
"MIMAT0019776","hsa-miR-1343;hsa-miR-1343-3p;","hsa_miR_1343;hsa_miR_1343_3p;","hsa_miR_1343_3p","hsa_miR_1343"
"MIMAT0019777","hsa-miR-4688;","hsa_miR_4688;","hsa_miR_4688","hsa_miR_4688"
"MIMAT0019778","hsa-miR-4689;","hsa_miR_4689;","hsa_miR_4689","hsa_miR_4689"
"MIMAT0019779","hsa-miR-4690-5p;","hsa_miR_4690_5p;","hsa_miR_4690_5p","hsa_miR_4690_5p"
"MIMAT0019780","hsa-miR-4690-3p;","hsa_miR_4690_3p;","hsa_miR_4690_3p","hsa_miR_4690_3p"
"MIMAT0019781","hsa-miR-4691-5p;","hsa_miR_4691_5p;","hsa_miR_4691_5p","hsa_miR_4691_5p"
"MIMAT0019782","hsa-miR-4691-3p;","hsa_miR_4691_3p;","hsa_miR_4691_3p","hsa_miR_4691_3p"
