"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MIMAT0004613","hsa-miR-188-3p;","hsa_miR_188_3p;","hsa_miR_188_3p","hsa_miR_188_3p"
"MIMAT0004614","hsa-miR-193a-5p;","hsa_miR_193a_5p;","hsa_miR_193a_5p","hsa_miR_193a_5p"
"MIMAT0004615","hsa-miR-195*;hsa-miR-195-3p;","hsa_miR_195*;hsa_miR_195_3p;","hsa_miR_195_3p","hsa_miR_195*"
"MIMAT0004657","hsa-miR-200c*;hsa-miR-200c-5p;","hsa_miR_200c*;hsa_miR_200c_5p;","hsa_miR_200c_5p","hsa_miR_200c*"
"MIMAT0004658","hsa-miR-155*;hsa-miR-155-3p;","hsa_miR_155*;hsa_miR_155_3p;","hsa_miR_155_3p","hsa_miR_155*"
"MIMAT0004671","hsa-miR-194*;hsa-miR-194-3p;","hsa_miR_194*;hsa_miR_194_3p;","hsa_miR_194_3p","hsa_miR_194*"
"MIMAT0004672","hsa-miR-106b*;hsa-miR-106b-3p;","hsa_miR_106b*;hsa_miR_106b_3p;","hsa_miR_106b_3p","hsa_miR_106b*"
"MIMAT0004673","hsa-miR-29c*;hsa-miR-29c-5p;","hsa_miR_29c*;hsa_miR_29c_5p;","hsa_miR_29c_5p","hsa_miR_29c*"
"MIMAT0004674","hsa-miR-30c-1*;hsa-miR-30c-1-3p;","hsa_miR_30c_1*;hsa_miR_30c_1_3p;","hsa_miR_30c_1_3p","hsa_miR_30c_1*"
"MIMAT0004675","hsa-miR-219-2-3p;hsa-miR-219a-2-3p;","hsa_miR_219_2_3p;hsa_miR_219a_2_3p;","hsa_miR_219a_2_3p","hsa_miR_219_2_3p"
"MIMAT0004676","hsa-miR-34b;hsa-miR-34b-3p;","hsa_miR_34b;hsa_miR_34b_3p;","hsa_miR_34b_3p","hsa_miR_34b"
"MIMAT0004677","hsa-miR-34c-3p;","hsa_miR_34c_3p;","hsa_miR_34c_3p","hsa_miR_34c_3p"
"MIMAT0004678","hsa-miR-99b*;hsa-miR-99b-3p;","hsa_miR_99b*;hsa_miR_99b_3p;","hsa_miR_99b_3p","hsa_miR_99b*"
"MIMAT0004679","hsa-miR-296-3p;","hsa_miR_296_3p;","hsa_miR_296_3p","hsa_miR_296_3p"
"MIMAT0004680","hsa-miR-130b*;hsa-miR-130b-5p;","hsa_miR_130b*;hsa_miR_130b_5p;","hsa_miR_130b_5p","hsa_miR_130b*"
"MIMAT0004681","hsa-miR-26a-2*;hsa-miR-26a-2-3p;","hsa_miR_26a_2*;hsa_miR_26a_2_3p;","hsa_miR_26a_2_3p","hsa_miR_26a_2*"
"MIMAT0004682","hsa-miR-361-3p;","hsa_miR_361_3p;","hsa_miR_361_3p","hsa_miR_361_3p"
"MIMAT0004683","hsa-miR-362-3p;","hsa_miR_362_3p;","hsa_miR_362_3p","hsa_miR_362_3p"
"MIMAT0004685","hsa-miR-302d*;hsa-miR-302d-5p;","hsa_miR_302d*;hsa_miR_302d_5p;","hsa_miR_302d_5p","hsa_miR_302d*"
"MIMAT0004686","hsa-miR-367*;hsa-miR-367-5p;","hsa_miR_367*;hsa_miR_367_5p;","hsa_miR_367_5p","hsa_miR_367*"
"MIMAT0004687","hsa-miR-371-5p;hsa-miR-371a-5p;","hsa_miR_371_5p;hsa_miR_371a_5p;","hsa_miR_371a_5p","hsa_miR_371_5p"
"MIMAT0004688","hsa-miR-374a*;hsa-miR-374a-3p;","hsa_miR_374a*;hsa_miR_374a_3p;","hsa_miR_374a_3p","hsa_miR_374a*"
"MIMAT0004689","hsa-miR-377*;hsa-miR-377-5p;","hsa_miR_377*;hsa_miR_377_5p;","hsa_miR_377_5p","hsa_miR_377*"
"MIMAT0004690","hsa-miR-379*;hsa-miR-379-3p;","hsa_miR_379*;hsa_miR_379_3p;","hsa_miR_379_3p","hsa_miR_379*"
"MIMAT0004692","hsa-miR-340;hsa-miR-340-5p;","hsa_miR_340;hsa_miR_340_5p;","hsa_miR_340_5p","hsa_miR_340"
"MIMAT0004693","hsa-miR-330-5p;","hsa_miR_330_5p;","hsa_miR_330_5p","hsa_miR_330_5p"
"MIMAT0004694","hsa-miR-342-5p;","hsa_miR_342_5p;","hsa_miR_342_5p","hsa_miR_342_5p"
"MIMAT0004695","hsa-miR-337-5p;","hsa_miR_337_5p;","hsa_miR_337_5p","hsa_miR_337_5p"
"MIMAT0004696","hsa-miR-323-5p;hsa-miR-323a-5p;","hsa_miR_323_5p;hsa_miR_323a_5p;","hsa_miR_323a_5p","hsa_miR_323_5p"
"MIMAT0004697","hsa-miR-151-5p;hsa-miR-151a-5p;","hsa_miR_151_5p;hsa_miR_151a_5p;","hsa_miR_151a_5p","hsa_miR_151_5p"
"MIMAT0004698","hsa-miR-135b*;hsa-miR-135b-3p;","hsa_miR_135b*;hsa_miR_135b_3p;","hsa_miR_135b_3p","hsa_miR_135b*"
"MIMAT0004699","hsa-miR-148b*;hsa-miR-148b-5p;","hsa_miR_148b*;hsa_miR_148b_5p;","hsa_miR_148b_5p","hsa_miR_148b*"
"MIMAT0004700","hsa-miR-331-5p;","hsa_miR_331_5p;","hsa_miR_331_5p","hsa_miR_331_5p"
"MIMAT0004701","hsa-miR-338-5p;","hsa_miR_338_5p;","hsa_miR_338_5p","hsa_miR_338_5p"
"MIMAT0004702","hsa-miR-339-3p;","hsa_miR_339_3p;","hsa_miR_339_3p","hsa_miR_339_3p"
"MIMAT0004703","hsa-miR-335*;hsa-miR-335-3p;","hsa_miR_335*;hsa_miR_335_3p;","hsa_miR_335_3p","hsa_miR_335*"
"MIMAT0004748","hsa-miR-423-5p;","hsa_miR_423_5p;","hsa_miR_423_5p","hsa_miR_423_5p"
"MIMAT0004749","hsa-miR-424*;hsa-miR-424-3p;","hsa_miR_424*;hsa_miR_424_3p;","hsa_miR_424_3p","hsa_miR_424*"
"MIMAT0004751","hsa-miR-18b*;hsa-miR-18b-3p;","hsa_miR_18b*;hsa_miR_18b_3p;","hsa_miR_18b_3p","hsa_miR_18b*"
"MIMAT0004752","hsa-miR-20b*;hsa-miR-20b-3p;","hsa_miR_20b*;hsa_miR_20b_3p;","hsa_miR_20b_3p","hsa_miR_20b*"
"MIMAT0004757","hsa-miR-431*;hsa-miR-431-3p;","hsa_miR_431*;hsa_miR_431_3p;","hsa_miR_431_3p","hsa_miR_431*"
"MIMAT0004761","hsa-miR-483-5p;","hsa_miR_483_5p;","hsa_miR_483_5p","hsa_miR_483_5p"
"MIMAT0004762","hsa-miR-486-3p;","hsa_miR_486_3p;","hsa_miR_486_3p","hsa_miR_486_3p"
"MIMAT0004763","hsa-miR-488;hsa-miR-488-3p;","hsa_miR_488;hsa_miR_488_3p;","hsa_miR_488_3p","hsa_miR_488"
"MIMAT0004764","hsa-miR-490-5p;","hsa_miR_490_5p;","hsa_miR_490_5p","hsa_miR_490_5p"
"MIMAT0004765","hsa-miR-491-3p;","hsa_miR_491_3p;","hsa_miR_491_3p","hsa_miR_491_3p"
"MIMAT0004766","hsa-miR-146b-3p;","hsa_miR_146b_3p;","hsa_miR_146b_3p","hsa_miR_146b_3p"
"MIMAT0004767","hsa-miR-193b*;hsa-miR-193b-5p;","hsa_miR_193b*;hsa_miR_193b_5p;","hsa_miR_193b_5p","hsa_miR_193b*"
"MIMAT0004768","hsa-miR-497*;hsa-miR-497-3p;","hsa_miR_497*;hsa_miR_497_3p;","hsa_miR_497_3p","hsa_miR_497*"
"MIMAT0004770","hsa-miR-516a-5p;","hsa_miR_516a_5p;","hsa_miR_516a_5p","hsa_miR_516a_5p"
"MIMAT0004772","hsa-miR-499-3p;hsa-miR-499a-3p;","hsa_miR_499_3p;hsa_miR_499a_3p;","hsa_miR_499a_3p","hsa_miR_499_3p"
"MIMAT0004773","hsa-miR-500;hsa-miR-500a;hsa-miR-500a-5p;","hsa_miR_500;hsa_miR_500a;hsa_miR_500a_5p;","hsa_miR_500a_5p","hsa_miR_500"
"MIMAT0004774","hsa-miR-501-3p;","hsa_miR_501_3p;","hsa_miR_501_3p","hsa_miR_501_3p"
"MIMAT0004775","hsa-miR-502-3p;","hsa_miR_502_3p;","hsa_miR_502_3p","hsa_miR_502_3p"
"MIMAT0004776","hsa-miR-505*;hsa-miR-505-5p;","hsa_miR_505*;hsa_miR_505_5p;","hsa_miR_505_5p","hsa_miR_505*"
"MIMAT0004777","hsa-miR-513-3p;hsa-miR-513a-3p;","hsa_miR_513_3p;hsa_miR_513a_3p;","hsa_miR_513a_3p","hsa_miR_513_3p"
"MIMAT0004778","hsa-miR-508-5p;","hsa_miR_508_5p;","hsa_miR_508_5p","hsa_miR_508_5p"
"MIMAT0004779","hsa-miR-509-5p;","hsa_miR_509_5p;","hsa_miR_509_5p","hsa_miR_509_5p"
"MIMAT0004780","hsa-miR-532-3p;","hsa_miR_532_3p;","hsa_miR_532_3p","hsa_miR_532_3p"
"MIMAT0004784","hsa-miR-455-3p;","hsa_miR_455_3p;","hsa_miR_455_3p","hsa_miR_455_3p"
"MIMAT0004785","hsa-miR-545*;hsa-miR-545-5p;","hsa_miR_545*;hsa_miR_545_5p;","hsa_miR_545_5p","hsa_miR_545*"
"MIMAT0004792","hsa-miR-92b*;hsa-miR-92b-5p;","hsa_miR_92b*;hsa_miR_92b_5p;","hsa_miR_92b_5p","hsa_miR_92b*"
"MIMAT0004793","hsa-miR-556-3p;","hsa_miR_556_3p;","hsa_miR_556_3p","hsa_miR_556_3p"
"MIMAT0004794","hsa-miR-551b*;hsa-miR-551b-5p;","hsa_miR_551b*;hsa_miR_551b_5p;","hsa_miR_551b_5p","hsa_miR_551b*"
"MIMAT0004795","hsa-miR-574-5p;","hsa_miR_574_5p;","hsa_miR_574_5p","hsa_miR_574_5p"
"MIMAT0004796","hsa-miR-576-3p;","hsa_miR_576_3p;","hsa_miR_576_3p","hsa_miR_576_3p"
"MIMAT0004797","hsa-miR-582-3p;","hsa_miR_582_3p;","hsa_miR_582_3p","hsa_miR_582_3p"
"MIMAT0004798","hsa-miR-548b-5p;","hsa_miR_548b_5p;","hsa_miR_548b_5p","hsa_miR_548b_5p"
"MIMAT0004799","hsa-miR-589;hsa-miR-589-5p;","hsa_miR_589;hsa_miR_589_5p;","hsa_miR_589_5p","hsa_miR_589"
"MIMAT0004800","hsa-miR-550;hsa-miR-550a;hsa-miR-550a-5p;","hsa_miR_550;hsa_miR_550a;hsa_miR_550a_5p;","hsa_miR_550a_5p","hsa_miR_550"
"MIMAT0004801","hsa-miR-590-3p;","hsa_miR_590_3p;","hsa_miR_590_3p","hsa_miR_590_3p"
"MIMAT0004802","hsa-miR-593;hsa-miR-593-3p;","hsa_miR_593;hsa_miR_593_3p;","hsa_miR_593_3p","hsa_miR_593"
"MIMAT0004803","hsa-miR-548a-5p;","hsa_miR_548a_5p;","hsa_miR_548a_5p","hsa_miR_548a_5p"
"MIMAT0004804","hsa-miR-615-5p;","hsa_miR_615_5p;","hsa_miR_615_5p","hsa_miR_615_5p"
"MIMAT0004805","hsa-miR-616;hsa-miR-616-3p;","hsa_miR_616;hsa_miR_616_3p;","hsa_miR_616_3p","hsa_miR_616"
"MIMAT0004806","hsa-miR-548c-5p;","hsa_miR_548c_5p;","hsa_miR_548c_5p","hsa_miR_548c_5p"
"MIMAT0004807","hsa-miR-624;hsa-miR-624-3p;","hsa_miR_624;hsa_miR_624_3p;","hsa_miR_624_3p","hsa_miR_624"
"MIMAT0004808","hsa-miR-625*;hsa-miR-625-3p;","hsa_miR_625*;hsa_miR_625_3p;","hsa_miR_625_3p","hsa_miR_625*"
"MIMAT0004809","hsa-miR-628-5p;","hsa_miR_628_5p;","hsa_miR_628_5p","hsa_miR_628_5p"
"MIMAT0004810","hsa-miR-629;hsa-miR-629-5p;","hsa_miR_629;hsa_miR_629_5p;","hsa_miR_629_5p","hsa_miR_629"
"MIMAT0004811","hsa-miR-33b*;hsa-miR-33b-3p;","hsa_miR_33b*;hsa_miR_33b_3p;","hsa_miR_33b_3p","hsa_miR_33b*"
"MIMAT0004812","hsa-miR-548d-5p;","hsa_miR_548d_5p;","hsa_miR_548d_5p","hsa_miR_548d_5p"
"MIMAT0004813","hsa-miR-411*;hsa-miR-411-3p;","hsa_miR_411*;hsa_miR_411_3p;","hsa_miR_411_3p","hsa_miR_411*"
"MIMAT0004814","hsa-miR-654-3p;","hsa_miR_654_3p;","hsa_miR_654_3p","hsa_miR_654_3p"
"MIMAT0004819","hsa-miR-671-3p;","hsa_miR_671_3p;","hsa_miR_671_3p","hsa_miR_671_3p"
"MIMAT0004900","hsa-miR-672;","hsa_miR_672;","hsa_miR_672","hsa_miR_672"
"MIMAT0004901","hsa-miR-298;","hsa_miR_298;","hsa_miR_298","hsa_miR_298"
"MIMAT0004902","hsa-miR-891a;hsa-miR-891a-5p;","hsa_miR_891a;hsa_miR_891a_5p;","hsa_miR_891a_5p","hsa_miR_891a"
"MIMAT0004903","hsa-miR-300;","hsa_miR_300;","hsa_miR_300","hsa_miR_300"
"MIMAT0004904","hsa-miR-871;","hsa_miR_871;","hsa_miR_871","hsa_miR_871"
"MIMAT0004905","hsa-miR-886-5p;","hsa_miR_886_5p;","hsa_miR_886_5p","hsa_miR_886_5p"
"MIMAT0004906","hsa-miR-886-3p;","hsa_miR_886_3p;","hsa_miR_886_3p","hsa_miR_886_3p"
"MIMAT0004907","hsa-miR-892a;","hsa_miR_892a;","hsa_miR_892a","hsa_miR_892a"
"MIMAT0004908","hsa-miR-220b;","hsa_miR_220b;","hsa_miR_220b","hsa_miR_220b"
"MIMAT0004909","hsa-miR-450b-5p;","hsa_miR_450b_5p;","hsa_miR_450b_5p","hsa_miR_450b_5p"
"MIMAT0004910","hsa-miR-450b-3p;","hsa_miR_450b_3p;","hsa_miR_450b_3p","hsa_miR_450b_3p"
"MIMAT0004911","hsa-miR-874;hsa-miR-874-3p;","hsa_miR_874;hsa_miR_874_3p;","hsa_miR_874_3p","hsa_miR_874"
"MIMAT0004912","hsa-miR-890;","hsa_miR_890;","hsa_miR_890","hsa_miR_890"
"MIMAT0004913","hsa-miR-891b;","hsa_miR_891b;","hsa_miR_891b","hsa_miR_891b"
"MIMAT0004914","hsa-miR-674;","hsa_miR_674;","hsa_miR_674","hsa_miR_674"
"MIMAT0004915","hsa-miR-220c;","hsa_miR_220c;","hsa_miR_220c","hsa_miR_220c"
"MIMAT0004916","hsa-miR-888;hsa-miR-888-5p;","hsa_miR_888;hsa_miR_888_5p;","hsa_miR_888_5p","hsa_miR_888"
"MIMAT0004917","hsa-miR-888*;hsa-miR-888-3p;","hsa_miR_888*;hsa_miR_888_3p;","hsa_miR_888_3p","hsa_miR_888*"
"MIMAT0004918","hsa-miR-892b;","hsa_miR_892b;","hsa_miR_892b","hsa_miR_892b"
"MIMAT0004919","hsa-miR-541*;hsa-miR-541-5p;","hsa_miR_541*;hsa_miR_541_5p;","hsa_miR_541_5p","hsa_miR_541*"
"MIMAT0004920","hsa-miR-541;hsa-miR-541-3p;","hsa_miR_541;hsa_miR_541_3p;","hsa_miR_541_3p","hsa_miR_541"
"MIMAT0004921","hsa-miR-889;hsa-miR-889-3p;","hsa_miR_889;hsa_miR_889_3p;","hsa_miR_889_3p","hsa_miR_889"
"MIMAT0004922","hsa-miR-875-5p;","hsa_miR_875_5p;","hsa_miR_875_5p","hsa_miR_875_5p"
"MIMAT0004923","hsa-miR-875-3p;","hsa_miR_875_3p;","hsa_miR_875_3p","hsa_miR_875_3p"
"MIMAT0004924","hsa-miR-876-5p;","hsa_miR_876_5p;","hsa_miR_876_5p","hsa_miR_876_5p"
"MIMAT0004925","hsa-miR-876-3p;","hsa_miR_876_3p;","hsa_miR_876_3p","hsa_miR_876_3p"
"MIMAT0004926","hsa-miR-708;hsa-miR-708-5p;","hsa_miR_708;hsa_miR_708_5p;","hsa_miR_708_5p","hsa_miR_708"
"MIMAT0004927","hsa-miR-708*;hsa-miR-708-3p;","hsa_miR_708*;hsa_miR_708_3p;","hsa_miR_708_3p","hsa_miR_708*"
"MIMAT0004928","hsa-miR-147b;hsa-miR-147b-3p;","hsa_miR_147b;hsa_miR_147b_3p;","hsa_miR_147b_3p","hsa_miR_147b"
"MIMAT0004929","hsa-miR-190b;hsa-miR-190b-5p;","hsa_miR_190b;hsa_miR_190b_5p;","hsa_miR_190b_5p","hsa_miR_190b"
"MIMAT0004944","hsa-miR-872;","hsa_miR_872;","hsa_miR_872","hsa_miR_872"
"MIMAT0004945","hsa-miR-744;hsa-miR-744-5p;","hsa_miR_744;hsa_miR_744_5p;","hsa_miR_744_5p","hsa_miR_744"
"MIMAT0004946","hsa-miR-744*;hsa-miR-744-3p;","hsa_miR_744*;hsa_miR_744_3p;","hsa_miR_744_3p","hsa_miR_744*"
"MIMAT0004947","hsa-miR-885-5p;","hsa_miR_885_5p;","hsa_miR_885_5p","hsa_miR_885_5p"
"MIMAT0004948","hsa-miR-885-3p;","hsa_miR_885_3p;","hsa_miR_885_3p","hsa_miR_885_3p"
"MIMAT0004949","hsa-miR-877;hsa-miR-877-5p;","hsa_miR_877;hsa_miR_877_5p;","hsa_miR_877_5p","hsa_miR_877"
"MIMAT0004950","hsa-miR-877*;hsa-miR-877-3p;","hsa_miR_877*;hsa_miR_877_3p;","hsa_miR_877_3p","hsa_miR_877*"
"MIMAT0004951","hsa-miR-887;hsa-miR-887-3p;","hsa_miR_887;hsa_miR_887_3p;","hsa_miR_887_3p","hsa_miR_887"
"MIMAT0004952","hsa-miR-665;","hsa_miR_665;","hsa_miR_665","hsa_miR_665"
"MIMAT0004953","hsa-miR-873;hsa-miR-873-5p;","hsa_miR_873;hsa_miR_873_5p;","hsa_miR_873_5p","hsa_miR_873"
"MIMAT0004954","hsa-miR-543;","hsa_miR_543;","hsa_miR_543","hsa_miR_543"
"MIMAT0004955","hsa-miR-374b;hsa-miR-374b-5p;","hsa_miR_374b;hsa_miR_374b_5p;","hsa_miR_374b_5p","hsa_miR_374b"
"MIMAT0004956","hsa-miR-374b*;hsa-miR-374b-3p;","hsa_miR_374b*;hsa_miR_374b_3p;","hsa_miR_374b_3p","hsa_miR_374b*"
"MIMAT0004957","hsa-miR-760;","hsa_miR_760;","hsa_miR_760","hsa_miR_760"
"MIMAT0004958","hsa-miR-301b;hsa-miR-301b-3p;","hsa_miR_301b;hsa_miR_301b_3p;","hsa_miR_301b_3p","hsa_miR_301b"
"MIMAT0004959","hsa-miR-216b;hsa-miR-216b-5p;","hsa_miR_216b;hsa_miR_216b_5p;","hsa_miR_216b_5p","hsa_miR_216b"
"MIMAT0004960","hsa-miR-208b;hsa-miR-208b-3p;","hsa_miR_208b;hsa_miR_208b_3p;","hsa_miR_208b_3p","hsa_miR_208b"
"MIMAT0004970","hsa-miR-920;","hsa_miR_920;","hsa_miR_920","hsa_miR_920"
"MIMAT0004971","hsa-miR-921;","hsa_miR_921;","hsa_miR_921","hsa_miR_921"
"MIMAT0004972","hsa-miR-922;","hsa_miR_922;","hsa_miR_922","hsa_miR_922"
"MIMAT0004973","hsa-miR-923;","hsa_miR_923;","hsa_miR_923","hsa_miR_923"
"MIMAT0004974","hsa-miR-924;","hsa_miR_924;","hsa_miR_924","hsa_miR_924"
"MIMAT0004975","hsa-miR-509-3-5p;","hsa_miR_509_3_5p;","hsa_miR_509_3_5p","hsa_miR_509_3_5p"
"MIMAT0004976","hsa-miR-933;","hsa_miR_933;","hsa_miR_933","hsa_miR_933"
"MIMAT0004977","hsa-miR-934;","hsa_miR_934;","hsa_miR_934","hsa_miR_934"
"MIMAT0004978","hsa-miR-935;","hsa_miR_935;","hsa_miR_935","hsa_miR_935"
"MIMAT0004979","hsa-miR-936;","hsa_miR_936;","hsa_miR_936","hsa_miR_936"
"MIMAT0004980","hsa-miR-937;hsa-miR-937-3p;","hsa_miR_937;hsa_miR_937_3p;","hsa_miR_937_3p","hsa_miR_937"
"MIMAT0004981","hsa-miR-938;","hsa_miR_938;","hsa_miR_938","hsa_miR_938"
"MIMAT0004982","hsa-miR-939;hsa-miR-939-5p;","hsa_miR_939;hsa_miR_939_5p;","hsa_miR_939_5p","hsa_miR_939"
"MIMAT0004983","hsa-miR-940;","hsa_miR_940;","hsa_miR_940","hsa_miR_940"
"MIMAT0004984","hsa-miR-941;","hsa_miR_941;","hsa_miR_941","hsa_miR_941"
"MIMAT0004985","hsa-miR-942;hsa-miR-942-5p;","hsa_miR_942;hsa_miR_942_5p;","hsa_miR_942_5p","hsa_miR_942"
"MIMAT0004986","hsa-miR-943;","hsa_miR_943;","hsa_miR_943","hsa_miR_943"
"MIMAT0004987","hsa-miR-944;","hsa_miR_944;","hsa_miR_944","hsa_miR_944"
"MIMAT0005449","hsa-miR-523*;hsa-miR-523-5p;","hsa_miR_523*;hsa_miR_523_5p;","hsa_miR_523_5p","hsa_miR_523*"
"MIMAT0005450","hsa-miR-518e*;hsa-miR-518e-5p;","hsa_miR_518e*;hsa_miR_518e_5p;","hsa_miR_518e_5p","hsa_miR_518e*"
"MIMAT0005451","hsa-miR-522*;hsa-miR-522-5p;","hsa_miR_522*;hsa_miR_522_5p;","hsa_miR_522_5p","hsa_miR_522*"
"MIMAT0005452","hsa-miR-519a*;hsa-miR-519a-5p;","hsa_miR_519a*;hsa_miR_519a_5p;","hsa_miR_519a_5p","hsa_miR_519a*"
"MIMAT0005454","hsa-miR-519b-5p;","hsa_miR_519b_5p;","hsa_miR_519b_5p","hsa_miR_519b_5p"
"MIMAT0005455","hsa-miR-520c-5p;","hsa_miR_520c_5p;","hsa_miR_520c_5p","hsa_miR_520c_5p"
"MIMAT0005456","hsa-miR-518d-5p;","hsa_miR_518d_5p;","hsa_miR_518d_5p","hsa_miR_518d_5p"
"MIMAT0005457","hsa-miR-518a-5p;","hsa_miR_518a_5p;","hsa_miR_518a_5p","hsa_miR_518a_5p"
"MIMAT0005458","hsa-miR-1224-5p;","hsa_miR_1224_5p;","hsa_miR_1224_5p","hsa_miR_1224_5p"
"MIMAT0005459","hsa-miR-1224-3p;","hsa_miR_1224_3p;","hsa_miR_1224_3p","hsa_miR_1224_3p"
"MIMAT0005572","hsa-miR-1225-5p;","hsa_miR_1225_5p;","hsa_miR_1225_5p","hsa_miR_1225_5p"
"MIMAT0005573","hsa-miR-1225-3p;","hsa_miR_1225_3p;","hsa_miR_1225_3p","hsa_miR_1225_3p"
"MIMAT0005576","hsa-miR-1226*;hsa-miR-1226-5p;","hsa_miR_1226*;hsa_miR_1226_5p;","hsa_miR_1226_5p","hsa_miR_1226*"
"MIMAT0005577","hsa-miR-1226;hsa-miR-1226-3p;","hsa_miR_1226;hsa_miR_1226_3p;","hsa_miR_1226_3p","hsa_miR_1226"
"MIMAT0005580","hsa-miR-1227;hsa-miR-1227-3p;","hsa_miR_1227;hsa_miR_1227_3p;","hsa_miR_1227_3p","hsa_miR_1227"
"MIMAT0005582","hsa-miR-1228*;hsa-miR-1228-5p;","hsa_miR_1228*;hsa_miR_1228_5p;","hsa_miR_1228_5p","hsa_miR_1228*"
"MIMAT0005583","hsa-miR-1228;hsa-miR-1228-3p;","hsa_miR_1228;hsa_miR_1228_3p;","hsa_miR_1228_3p","hsa_miR_1228"
"MIMAT0005584","hsa-miR-1229;hsa-miR-1229-3p;","hsa_miR_1229;hsa_miR_1229_3p;","hsa_miR_1229_3p","hsa_miR_1229"
"MIMAT0005586","hsa-miR-1231;","hsa_miR_1231;","hsa_miR_1231","hsa_miR_1231"
"MIMAT0005588","hsa-miR-1233;hsa-miR-1233-3p;","hsa_miR_1233;hsa_miR_1233_3p;","hsa_miR_1233_3p","hsa_miR_1233"
"MIMAT0005589","hsa-miR-1234;hsa-miR-1234-3p;","hsa_miR_1234;hsa_miR_1234_3p;","hsa_miR_1234_3p","hsa_miR_1234"
"MIMAT0005591","hsa-miR-1236;hsa-miR-1236-3p;","hsa_miR_1236;hsa_miR_1236_3p;","hsa_miR_1236_3p","hsa_miR_1236"
"MIMAT0005592","hsa-miR-1237;hsa-miR-1237-3p;","hsa_miR_1237;hsa_miR_1237_3p;","hsa_miR_1237_3p","hsa_miR_1237"
"MIMAT0005593","hsa-miR-1238;hsa-miR-1238-3p;","hsa_miR_1238;hsa_miR_1238_3p;","hsa_miR_1238_3p","hsa_miR_1238"
"MIMAT0005788","hsa-miR-513b;hsa-miR-513b-5p;","hsa_miR_513b;hsa_miR_513b_5p;","hsa_miR_513b_5p","hsa_miR_513b"
"MIMAT0005789","hsa-miR-513c;hsa-miR-513c-5p;","hsa_miR_513c;hsa_miR_513c_5p;","hsa_miR_513c_5p","hsa_miR_513c"
"MIMAT0005791","hsa-miR-1264;","hsa_miR_1264;","hsa_miR_1264","hsa_miR_1264"
"MIMAT0005792","hsa-miR-320b;","hsa_miR_320b;","hsa_miR_320b","hsa_miR_320b"
"MIMAT0005793","hsa-miR-320c;","hsa_miR_320c;","hsa_miR_320c","hsa_miR_320c"
"MIMAT0005794","hsa-miR-1296;hsa-miR-1296-5p;","hsa_miR_1296;hsa_miR_1296_5p;","hsa_miR_1296_5p","hsa_miR_1296"
"MIMAT0005795","hsa-miR-1323;","hsa_miR_1323;","hsa_miR_1323","hsa_miR_1323"
"MIMAT0005796","hsa-miR-1271;hsa-miR-1271-5p;","hsa_miR_1271;hsa_miR_1271_5p;","hsa_miR_1271_5p","hsa_miR_1271"
"MIMAT0005797","hsa-miR-1301;hsa-miR-1301-3p;","hsa_miR_1301;hsa_miR_1301_3p;","hsa_miR_1301_3p","hsa_miR_1301"
"MIMAT0005798","hsa-miR-1185;hsa-miR-1185-5p;","hsa_miR_1185;hsa_miR_1185_5p;","hsa_miR_1185_5p","hsa_miR_1185"
"MIMAT0005799","hsa-miR-1283;","hsa_miR_1283;","hsa_miR_1283","hsa_miR_1283"
"MIMAT0005800","hsa-miR-1298;hsa-miR-1298-5p;","hsa_miR_1298;hsa_miR_1298_5p;","hsa_miR_1298_5p","hsa_miR_1298"
"MIMAT0005823","hsa-miR-1178;hsa-miR-1178-3p;","hsa_miR_1178;hsa_miR_1178_3p;","hsa_miR_1178_3p","hsa_miR_1178"
"MIMAT0005824","hsa-miR-1179;","hsa_miR_1179;","hsa_miR_1179","hsa_miR_1179"
"MIMAT0005825","hsa-miR-1180;hsa-miR-1180-3p;","hsa_miR_1180;hsa_miR_1180_3p;","hsa_miR_1180_3p","hsa_miR_1180"
"MIMAT0005826","hsa-miR-1181;","hsa_miR_1181;","hsa_miR_1181","hsa_miR_1181"
"MIMAT0005827","hsa-miR-1182;","hsa_miR_1182;","hsa_miR_1182","hsa_miR_1182"
"MIMAT0005828","hsa-miR-1183;","hsa_miR_1183;","hsa_miR_1183","hsa_miR_1183"
"MIMAT0005829","hsa-miR-1184;","hsa_miR_1184;","hsa_miR_1184","hsa_miR_1184"
"MIMAT0005863","hsa-miR-1200;","hsa_miR_1200;","hsa_miR_1200","hsa_miR_1200"
"MIMAT0005864","hsa-miR-1201;","hsa_miR_1201;","hsa_miR_1201","hsa_miR_1201"
"MIMAT0005865","hsa-miR-1202;","hsa_miR_1202;","hsa_miR_1202","hsa_miR_1202"
"MIMAT0005866","hsa-miR-1203;","hsa_miR_1203;","hsa_miR_1203","hsa_miR_1203"
"MIMAT0005867","hsa-miR-663b;","hsa_miR_663b;","hsa_miR_663b","hsa_miR_663b"
"MIMAT0005868","hsa-miR-1204;","hsa_miR_1204;","hsa_miR_1204","hsa_miR_1204"
"MIMAT0005869","hsa-miR-1205;","hsa_miR_1205;","hsa_miR_1205","hsa_miR_1205"
"MIMAT0005870","hsa-miR-1206;","hsa_miR_1206;","hsa_miR_1206","hsa_miR_1206"
"MIMAT0005871","hsa-miR-1207-5p;","hsa_miR_1207_5p;","hsa_miR_1207_5p","hsa_miR_1207_5p"
