,NDNRF_1,NDNRF_2,NDNRF_3,NDNRF_4,NDNRF_5,NDNRF_6,NDNRF_7,NDNRF_8,NDNRF_9,NDNRF_10,NDNRF_11,T2DKD_1,T2DKD_2,T2DKD_3,T2DKD_4,T2DKD_5,T2DKD_6,T2DKD_7,T2DKD_8,T2DKD_9,T2DNRF_1,T2DNRF_2,T2DNRF_3,T2DNRF_4,T2DNRF_5,T2DNRF_6,T2DNRF_7,T2DNRF_8,T2DNRF_9,T2DNRF_10,T2DNRF_11,T2DNRF_12,T2DNRF_13
hsa-miR-6823-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6823-3p,0,4,0,0,0,1,0,0,0,0,0,6,0,1,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
hsa-miR-6824-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6824-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6825-5p,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6825-3p,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6826-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,0,0
hsa-miR-6826-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6827-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6830-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6831-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,4,0,0
hsa-miR-6832-5p,0,0,0,0,3,0,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,7,0,8,0,15,0,0,0,0,2
hsa-miR-6832-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-6833-5p,0,0,13,0,0,0,5,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,1,0,15,0,0,0,14,1,1,0
hsa-miR-6833-3p,0,8,0,0,3,0,11,0,0,0,0,0,3,0,2,0,0,0,0,16,0,0,0,1,3,0,0,0,0,3,0,0,0
hsa-miR-6834-5p,0,0,0,13,3,0,0,0,7,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
hsa-miR-6835-5p,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6780b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6780b-3p,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,12,0,0,0,0,0,0,4,0
hsa-miR-6836-5p,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-6836-3p,0,0,0,5,3,0,0,0,9,0,0,0,0,0,1,0,0,3,0,0,0,169,0,0,0,18,0,4,0,0,2,1,3
hsa-miR-6837-3p,0,0,0,0,0,0,0,0,0,27,0,0,0,16,2,0,24,0,4,0,0,0,0,0,2,11,4,2,0,0,1,0,0
hsa-miR-6839-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6840-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6840-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5
hsa-miR-6842-5p,0,0,10,31,8,0,28,0,8,6,8,0,4,5,1,16,15,1,1,0,0,0,1,15,12,1,8,8,5,12,7,4,6
hsa-miR-6842-3p,25,1,56,34,15,7,4,66,11,0,0,0,11,0,13,0,0,9,40,8,117,0,20,22,9,36,105,17,18,32,42,33,10
hsa-miR-6843-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0
hsa-miR-6844,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
hsa-miR-6846-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
hsa-miR-6847-5p,0,0,0,21,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,9,0,0,0,0,0,7,0
hsa-miR-6847-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6848-5p,15,0,0,6,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,7,1,6,0
hsa-miR-6849-5p,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6849-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
hsa-miR-6850-5p,0,0,0,18,13,2,4,0,0,27,0,0,0,18,3,42,0,0,1,6,0,0,6,0,14,7,7,2,14,8,4,5,5
hsa-miR-6851-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6851-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-6852-5p,118,11,221,215,49,51,358,135,112,84,26,9,24,57,23,26,274,13,174,14,133,581,38,167,38,217,103,25,134,19,41,39,28
hsa-miR-6853-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-6854-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6855-5p,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,3,4,0,0,5,6,0,0,0,1,1
hsa-miR-6855-3p,0,0,0,0,0,0,4,0,0,0,0,0,1,8,0,0,0,5,1,0,0,0,0,6,0,0,0,0,0,5,0,0,4
hsa-miR-6856-5p,0,0,0,0,0,0,0,0,0,0,9,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6857-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-6857-3p,13,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6858-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5
hsa-miR-6858-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6859-5p,49,16,22,32,4,7,33,0,4,0,15,0,5,0,3,0,28,0,3,1,0,0,1,15,5,6,0,3,0,7,7,2,5
hsa-miR-6859-3p,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-6769b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
hsa-miR-6769b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,2
hsa-miR-6861-5p,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-6862-5p,23,0,0,0,15,0,16,0,0,0,0,0,4,0,0,0,0,2,11,3,110,200,0,6,0,0,0,4,0,0,5,0,2
hsa-miR-6862-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6864-5p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6865-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,2
hsa-miR-6865-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-6866-5p,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,6,3,0,0,2,0,6,9,0,0,0,10,4,6,4
hsa-miR-6866-3p,0,0,27,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hsa-miR-6867-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6867-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6868-3p,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,3,7,8,0,0,0,11,1
hsa-miR-6869-5p,0,8,0,0,0,4,1,0,7,0,0,0,1,0,1,0,14,3,2,0,0,1,0,0,18,0,0,0,0,0,0,3,6
hsa-miR-6870-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6871-5p,0,5,0,0,0,0,0,0,0,0,0,0,1,16,0,0,8,0,0,4,0,0,0,0,6,0,5,0,0,0,0,0,6
hsa-miR-6873-3p,27,23,2,78,9,33,12,10,22,42,43,4,5,159,1,0,34,6,12,15,165,0,3,10,30,20,23,15,30,9,5,4,23
hsa-miR-6874-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-6875-5p,0,0,0,10,0,0,5,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
hsa-miR-6875-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6876-5p,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6877-5p,17,0,26,26,1,0,10,0,0,0,0,0,1,4,1,20,0,2,3,14,117,144,6,17,10,2,18,2,0,11,2,14,2
hsa-miR-6878-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hsa-miR-6878-3p,0,0,0,0,0,0,0,0,0,0,0,12,3,0,2,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-6879-5p,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6879-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6880-5p,44,0,12,12,5,0,8,0,6,8,0,5,9,6,7,0,11,2,23,5,0,0,8,37,15,11,0,5,0,4,4,1,14
hsa-miR-6880-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-6881-5p,0,0,0,0,1,7,0,0,0,0,9,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4,0,9,1,11,0
hsa-miR-6881-3p,0,0,17,0,5,0,0,0,4,9,0,0,1,0,0,0,0,0,1,0,0,0,31,0,1,0,0,0,0,7,0,0,0
hsa-miR-6882-5p,0,0,0,10,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6882-3p,0,0,0,0,0,0,0,0,0,0,21,0,1,8,0,0,0,2,7,4,0,0,9,5,0,0,0,0,0,3,0,4,0
hsa-miR-6883-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,3,1,5,0,0,1,0,2,3,0,5
hsa-miR-6884-5p,0,0,0,28,0,9,4,39,7,0,0,0,1,0,1,0,0,2,1,3,0,0,5,0,0,25,0,2,0,18,3,4,0
hsa-miR-6884-3p,0,0,0,10,5,3,0,0,0,0,0,0,2,4,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
hsa-miR-6885-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-6885-3p,0,0,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
hsa-miR-6886-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1
hsa-miR-6887-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6887-3p,0,5,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
hsa-miR-6889-5p,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3
hsa-miR-6890-5p,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0
hsa-miR-6891-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3
hsa-miR-6891-3p,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
hsa-miR-6892-5p,0,3,0,0,9,10,13,0,7,6,0,0,2,14,0,0,24,0,4,0,0,0,0,13,3,10,12,0,0,0,0,0,1
hsa-miR-6892-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-6893-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6893-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6894-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
hsa-miR-6894-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
hsa-miR-6895-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-7106-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7106-3p,0,5,0,0,0,0,12,0,0,0,0,7,3,0,1,0,0,3,11,5,0,0,0,0,11,0,0,0,0,0,0,0,14
hsa-miR-7107-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7107-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7109-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7110-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7110-3p,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,8,3,5,0,0,0,0,0,0,0,12
hsa-miR-7111-5p,0,5,0,0,0,0,0,0,0,0,0,0,2,4,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7111-3p,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7113-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1
hsa-miR-7114-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7114-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7151-5p,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7152-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7155-5p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-7156-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-7158-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
hsa-miR-7161-3p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
hsa-miR-7160-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-7160-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-7702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7704,0,0,0,11,1,0,1,34,5,0,14,0,1,6,1,0,0,0,0,2,149,157,2,1,7,10,6,6,0,3,2,4,4
hsa-miR-7705,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,7,0,0,1,6,3,0
hsa-miR-7706,130,0,56,95,46,47,16,54,69,117,199,13,11,26,1,13,31,5,22,38,717,1021,75,20,39,135,24,41,10,94,39,63,30
hsa-miR-7843-5p,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7843-3p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-4433b-5p,189,26,625,152,545,50,404,170,35,17,9,18,708,82,80,0,373,233,568,297,237,161,421,623,113,49,111,23,70,18,58,172,613
hsa-miR-4433b-3p,63,5,161,72,7,37,12,35,17,43,0,0,2,10,13,0,129,1,9,3,543,0,10,69,5,29,70,16,250,16,14,50,7
hsa-miR-1273h-5p,0,0,15,0,3,0,24,0,0,0,0,1,2,0,2,0,17,0,2,0,0,183,0,6,0,0,7,0,0,0,4,0,0
hsa-miR-1273h-3p,110,1,237,33,66,54,57,57,35,7,50,13,28,23,29,0,17,14,73,38,273,845,67,92,42,69,108,28,72,5,74,48,44
hsa-miR-6516-5p,0,0,12,0,1,0,0,40,5,8,0,0,1,5,0,0,11,2,1,0,0,0,3,6,1,6,5,0,0,20,1,4,3
hsa-miR-6516-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
hsa-miR-7847-3p,281,18,518,1489,54,1119,18,655,252,284,785,24,6,92,17,81,116,5,22,29,2421,2350,7,26,54,437,904,269,879,207,126,193,15
hsa-miR-7848-3p,0,0,0,0,1,0,7,0,21,0,0,0,0,0,0,0,9,0,10,2,0,0,8,0,8,8,5,0,0,0,0,0,9
hsa-miR-7849-3p,0,3,0,0,0,0,0,0,7,0,0,0,1,0,0,13,0,0,0,0,0,0,8,3,0,0,7,0,0,0,5,0,0
hsa-miR-7850-5p,0,0,0,0,0,0,0,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0
hsa-miR-7851-3p,0,0,0,20,7,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,5,7
hsa-miR-7852-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-7853-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-7855-5p,30,5,0,10,0,4,9,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,6,1,1,25,10,0,10,0,5,0,0
hsa-miR-7856-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-548ba,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
hsa-miR-7976,0,0,0,49,0,10,0,0,27,26,81,2,2,5,2,0,9,0,0,7,0,250,0,5,8,49,15,15,16,28,14,20,4
hsa-miR-7977,38,9,339,187,14,9,46,39,12,48,0,4,36,21,22,0,63,27,62,58,142,757,43,96,30,95,49,18,85,15,47,45,196
hsa-miR-8056,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
hsa-miR-8059,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-8060,0,6,0,0,0,0,21,0,0,0,0,0,9,17,9,0,4,24,3,4,0,0,0,0,26,0,0,0,0,0,0,0,36
hsa-miR-8064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-8066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8069,0,0,0,0,0,0,1,0,0,0,0,4,2,14,0,0,0,3,5,6,0,0,0,0,4,0,0,0,0,0,0,0,9
hsa-miR-8072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-8084,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-8089,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4
hsa-miR-8485,24,0,9,0,0,0,15,0,6,3,0,3,0,0,2,0,21,23,1,7,0,0,1,7,5,6,1,18,0,2,5,3,11
hsa-miR-548bb-5p,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,15,0,0,1,0,1,0
hsa-miR-548bb-3p,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,138,0,0,0,0,0,0,0,4,1,1,1,0
hsa-miR-9898,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-9899,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1
hsa-miR-9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-9903,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,9,0
hsa-miR-9985,0,0,1,5,0,0,7,0,24,2,16,0,2,0,0,0,0,0,1,0,101,0,4,9,8,6,4,15,0,6,0,5,0
hsa-miR-1843,26,0,18,62,29,24,13,0,37,22,0,17,6,18,12,0,0,0,17,17,148,151,10,22,0,46,43,64,98,52,56,37,5
hsa-miR-548bc,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
hsa-miR-9986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
hsa-miR-10392-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hsa-miR-10392-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10395-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
