,NDNRF_1,NDNRF_2,NDNRF_3,NDNRF_4,NDNRF_5,NDNRF_6,NDNRF_7,NDNRF_8,NDNRF_9,NDNRF_10,NDNRF_11,T2DKD_1,T2DKD_2,T2DKD_3,T2DKD_4,T2DKD_5,T2DKD_6,T2DKD_7,T2DKD_8,T2DKD_9,T2DNRF_1,T2DNRF_2,T2DNRF_3,T2DNRF_4,T2DNRF_5,T2DNRF_6,T2DNRF_7,T2DNRF_8,T2DNRF_9,T2DNRF_10,T2DNRF_11,T2DNRF_12,T2DNRF_13
hsa-miR-548aq-5p,0,0,0,21,4,7,0,0,10,9,0,0,0,0,1,0,0,0,0,0,10,271,0,0,0,15,8,0,0,6,4,1,0
hsa-miR-548aq-3p,73,0,19,91,0,62,2,64,27,30,18,2,3,17,1,2,23,0,1,9,154,5,5,0,8,26,4,34,19,38,34,26,3
hsa-miR-548ar-5p,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,6,4,7,1
hsa-miR-548ar-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0
hsa-miR-548as-5p,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,3,7,0
hsa-miR-548as-3p,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hsa-miR-664b-5p,0,18,154,83,98,43,104,132,85,53,100,10,12,24,23,13,151,11,23,11,311,212,55,126,22,77,176,43,169,45,52,49,26
hsa-miR-664b-3p,0,0,3,0,9,0,6,0,10,0,0,0,6,9,0,0,15,0,2,2,0,0,22,14,1,0,21,6,0,2,7,30,3
hsa-miR-5581-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
hsa-miR-548at-5p,0,0,1,5,4,0,0,29,4,0,0,0,1,0,7,0,3,2,1,1,0,0,5,4,3,14,22,29,0,30,11,9,1
hsa-miR-548at-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0
