miRNA,patient2_platelets,patient3_platelets,patient4_platelets,patient5_platelets,patient6_platelets,patient8_platelets,patient9_platelets,patient10_platelets,patient11_platelets,patient12_platelets,patient13_platelets,patient15_platelets,patient16_platelets,patient17_platelets,patient18_platelets,patient19_platelets,patient20_platelets,patient21_platelets,patient14_platelets,patient7a_platelets,patient7b_platelets,patient7c_platelets,control1_platelets,control2_platelets,control3_platelets,control4_platelets,control5_platelets,control6_platelets,control7_platelets,control8_platelets,control10_platelets,control11_platelets,control12_platelets,control13_platelets,control14_platelets,control15_platelets,control16_platelets,control17_platelets,control18_platelets,control20_platelets,control19_platelets,control9a_platelets,control9b_platelets,control9c_platelets,patient2_Microvesicles,patient3_Microvesicles,patient4_Microvesicles,patient5_Microvesicles,patient6_Microvesicles,patient8_Microvesicles,patient9_Microvesicles,patient10_Microvesicles,patient11_Microvesicles,patient12_Microvesicles,patient13_Microvesicles,patient15_Microvesicles,patient16_Microvesicles,patient17_Microvesicles,patient18_Microvesicles,patient19_Microvesicles,patient20_Microvesicles,patient21_Microvesicles,patient14_Microvesicles,patient7a_Microvesicles,patient7b_Microvesicles,patient7c_Microvesicles,control1_Microvesicles,control2_Microvesicles,control3_Microvesicles,control4_Microvesicles,control5_Microvesicles,control6_Microvesicles,control7_Microvesicles,control8_Microvesicles,control10_Microvesicles,control11_Microvesicles,control12_Microvesicles,control13_Microvesicles,control14_Microvesicles,control15_Microvesicles,control16_Microvesicles,control17_Microvesicles,control18_Microvesicles,control20_Microvesicles,control19_Microvesicles,control9a_Microvesicles,control9b_Microvesicles,control9c_Microvesicles,patient2_PBMC,patient3_PBMC,patient4_PBMC,patient5_PBMC,patient6_PBMC,patient8_PBMC,patient9_PBMC,patient10_PBMC,patient11_PBMC,patient12_PBMC,patient13_PBMC,patient15_PBMC,patient16_PBMC,patient17_PBMC,patient18_PBMC,patient19_PBMC,patient20_PBMC,patient21_PBMC,patient14_PBMC,patient7a_PBMC,patient7b_PBMC,patient7c_PBMC,control1_PBMC,control2_PBMC,control3_PBMC,control4_PBMC,control5_PBMC,control6_PBMC,control7_PBMC,control8_PBMC,control10_PBMC,control11_PBMC,control12_PBMC,control13_PBMC,control14_PBMC,control15_PBMC,control16_PBMC,control17_PBMC,control18_PBMC,control20_PBMC,control19_PBMC,control9a_PBMC,control9b_PBMC,control9c_PBMC
hsa-miR-181a-star,8.150056,7.912029,7.489532,7.949711,8.20612,8.193051,8.767784,8.162654,7.936577,7.577992,7.690327,8.465772,8.801806,8.317972,9.252363,7.638799,8.271034,7.403337,7.900328,7.972538,7.810279,7.946296,7.43796,7.816279,6.986982,6.412229,8.202435,7.764874,6.259857,7.663654,7.08829,8.086063,7.317411,8.12639,7.50852,7.632516,6.968456,7.381557,7.690203,7.967154,6.925059,8.638365,8.695843,8.416095,4.623463,4.533485,4.155005,3.375098,3.794494,3.923196,4.277318,3.997434,3.912823,4.46458,3.888088,4.241918,3.786861,4.134872,4.545609,3.890879,3.816236,4.352372,3.381676,4.242253,4.19582,3.671363,3.813768,3.782239,4.350744,4.268015,4.34209,4.102571,3.426121,4.320849,3.674116,3.306647,4.466799,3.776702,3.8386,4.120986,3.82488,4.212113,3.341974,4.357111,4.182396,4.10505,4.116919,4.375642,7.463966,7.226017,7.392876,7.599868,7.238477,6.815299,7.379839,7.514443,7.822704,7.310264,7.671456,7.996032,7.974346,7.258579,8.464459,8.170559,6.842855,8.030019,7.936239,7.401108,7.675004,8.059654,7.180481,7.964691,7.47397,7.547896,7.325577,7.986789,7.559713,7.382799,7.812985,7.261336,7.048623,7.14953,8.210294,7.77644,7.521039,7.714963,7.839399,7.931798,7.969255,7.920499,7.807071,7.951625
hsa-miR-181a,14.0944,14.12345,14.05898,14.49059,13.96814,14.06018,14.16148,14.26605,14.05541,13.58559,13.93048,14.08407,13.9774,14.10101,14.47324,13.84873,14.15656,13.80581,13.96191,13.9487,13.88274,13.98759,13.79173,13.88136,13.27927,13.3118,13.98987,13.98277,13.48372,13.78438,13.47561,13.84627,13.83047,13.78339,14.05315,13.62912,13.63531,13.55097,13.61304,13.86389,13.54984,14.18475,14.22056,13.89077,5.084376,6.515003,4.209387,8.260963,8.434849,4.525347,8.633221,7.496099,6.566223,6.126299,4.482727,6.277513,8.402684,6.151994,9.445152,7.822351,6.362282,7.302244,5.516343,6.62427,6.758471,7.012696,7.094599,4.665703,4.94845,5.648896,8.345204,6.802798,5.762489,6.39594,5.774217,6.250154,7.526818,7.782876,7.258335,7.503766,7.867464,7.168051,7.734354,6.847241,8.563419,7.86933,8.656956,7.678552,13.79744,14.08554,13.77821,14.10003,13.82889,13.3535,13.80146,13.76471,13.69498,13.92959,13.54552,14.19152,14.03769,13.87064,14.43635,14.10155,13.81063,14.13903,13.83927,13.72805,13.69858,14.04725,13.63521,14.18135,13.61444,13.80423,14.24914,14.30102,13.72394,13.95652,14.2008,13.85812,13.77682,13.86485,14.02179,14.27469,14.06198,14.13102,14.09958,14.15005,14.0424,14.23238,14.15726,14.26797
hsa-miR-181b,12.02526,12.1887,12.14264,13.30052,11.72627,11.88424,12.00486,12.59081,12.19687,11.89912,12.52196,12.06108,11.98297,11.78986,12.36929,11.80337,11.92245,11.94926,12.5225,11.87949,11.76284,11.94736,11.55129,11.70137,11.12111,11.20646,11.5973,11.75702,11.09208,11.65207,11.58237,11.67179,11.4129,11.56061,12.04602,11.57482,11.95888,11.69745,11.5489,11.70805,11.17911,11.81073,11.98983,11.56332,4.924155,4.999461,4.349362,5.124478,4.552113,3.925606,6.806336,4.433692,4.876472,4.424284,4.631783,4.531128,4.985321,4.251726,7.732258,5.43657,4.369491,5.234043,3.742409,4.341958,4.412897,4.354289,4.198823,4.545831,4.630929,4.563354,5.231406,4.002102,5.151198,4.717046,4.772504,4.12718,5.129744,4.503669,5.046212,5.24342,5.297916,4.782398,4.890905,4.984686,6.993917,4.744698,4.564452,5.08644,12.35498,12.74726,12.43494,12.90715,12.17517,11.95252,12.11607,12.27012,12.07443,12.5834,12.02682,12.91706,12.13253,12.17227,13.07116,12.62608,12.22518,12.71451,12.28746,12.34847,12.43538,12.61682,12.21053,12.60529,11.96573,12.21219,12.55135,12.96016,11.91455,12.44043,13.08828,12.22788,12.10678,12.06004,12.82221,13.05576,12.98484,12.84377,12.60309,12.19777,12.41481,12.69362,12.63817,12.77138
hsa-miR-181c-star,8.372015,7.209173,7.659077,7.178126,8.533798,8.129958,9.162063,7.592714,5.959844,6.434662,6.992691,8.628236,8.717255,8.427751,8.401834,8.187656,8.541009,8.020333,6.554363,7.7957,7.844534,7.926776,8.040197,8.20609,7.25576,7.440042,8.018188,7.54644,7.265497,7.443765,7.301322,7.397608,6.594624,7.674448,7.433769,7.837308,6.357975,6.967575,7.909679,7.384844,7.542381,7.984795,8.359499,7.993475,4.1169,4.172097,4.434531,4.088502,4.516311,4.186325,4.051178,4.048048,4.05072,4.154384,4.643169,3.965725,3.451251,3.188282,4.383507,3.609996,4.489726,3.933863,4.185576,4.5306,4.103369,4.77154,3.644864,4.267476,3.375197,4.077808,3.796766,3.620332,4.461124,4.014556,4.182816,4.077909,4.319834,3.776702,4.503422,4.133731,3.783723,4.255161,3.964607,3.958445,4.001699,4.288054,4.186939,3.789042,6.63312,5.994982,6.230209,6.375599,5.173175,6.364202,6.41053,5.64771,5.815051,6.572822,6.722674,6.441912,7.464122,6.562471,6.482977,6.98844,5.925592,6.761311,6.365088,6.275579,6.363353,6.693583,5.9621,6.820302,6.689564,6.73532,6.562249,6.420748,6.941612,6.794559,7.095257,6.794867,6.340899,6.596694,6.799791,6.827755,6.302338,6.58796,6.703228,7.024296,7.041445,6.085975,6.56263,6.786022
hsa-miR-181c,9.898992,10.27248,10.06106,8.9728,9.784898,9.734666,10.7015,9.323311,9.979495,9.152203,9.980446,10.46155,9.773094,9.856997,11.77772,9.422021,9.908715,9.76932,9.915695,8.978446,10.12939,9.361336,10.38757,10.16424,9.51486,9.257137,10.01911,9.884746,8.747993,9.769497,9.666389,9.368633,9.822541,10.00424,10.31509,9.895463,10.28653,8.963669,9.709568,10.4124,9.725564,10.84469,10.37704,10.45443,4.500612,3.96182,4.056443,3.654183,4.128331,3.831096,5.805947,3.948411,4.011994,4.198963,5.055263,3.791979,4.227418,4.307698,5.913472,3.932336,4.030158,3.836099,4.236873,4.296894,3.899694,3.671648,3.764138,4.267476,3.987261,3.973672,4.092661,3.491553,4.178261,3.67978,3.965946,3.605306,3.460583,3.436708,3.885739,4.018703,4.01328,3.734529,3.552935,4.318627,5.885929,4.321856,4.009145,4.535159,10.16058,10.30812,9.592335,10.04425,8.490778,8.864694,9.327801,9.717611,9.677368,10.09191,9.702959,10.43168,10.19005,8.767073,10.70373,10.26838,9.020205,10.3045,10.17367,9.77653,9.891707,9.751823,9.848119,10.35002,9.958801,10.32481,10.06305,11.01075,9.948748,9.45895,10.35167,10.14788,9.28648,9.516487,10.64932,10.24292,10.14779,10.38747,10.30756,10.19355,9.19242,10.98465,10.62044,9.926745
hsa-miR-181d,9.701292,9.458244,9.461687,9.604704,10.50826,9.796597,10.54167,10.03775,9.38347,9.369219,9.53433,10.38108,10.68891,10.09262,10.06618,10.20358,9.746309,10.29194,9.821464,9.781511,9.690424,9.72563,9.601283,9.837122,9.160177,9.064804,10.21566,9.244478,10.25865,9.575737,9.912234,9.521081,9.930733,9.537355,10.34233,9.938471,10.32209,9.307071,10.27488,9.572868,9.25176,9.807862,9.936646,9.885456,4.112794,3.788575,4.330939,3.45131,4.328999,4.144826,5.114269,4.290887,4.603521,4.419404,4.151389,4.46711,4.323181,4.500726,5.202204,3.757971,4.079327,4.334569,3.80385,4.041208,4.198678,4.403539,4.52905,3.77158,3.987261,4.364142,4.261483,3.921653,3.999858,4.133529,4.607921,4.238296,4.644392,3.779748,4.11813,3.739378,3.472058,4.089439,4.112975,3.85247,4.922531,4.31821,4.324099,4.569238,9.113399,9.26681,9.571128,9.060483,8.949717,8.686528,9.148556,8.876226,8.321278,8.942628,9.457325,9.571621,9.617579,8.931889,9.063903,9.110384,8.922516,9.166482,8.679961,9.045474,8.976097,8.945033,9.447402,9.337361,9.004636,8.889206,8.942951,8.870275,8.862966,9.085496,9.464622,8.964004,8.826928,8.845618,9.345426,8.915139,9.838999,9.140045,8.948326,8.680255,8.968378,8.863854,8.862303,8.832554
hsa-miR-182-star,3.25066,3.502259,3.676322,3.318404,3.138409,3.892828,2.969525,3.915275,3.967522,3.699165,3.33707,3.431793,3.680219,3.359857,4.042618,3.249816,3.592788,3.569912,3.35864,3.654135,2.731869,3.628167,3.426986,3.864815,4.263112,3.520671,3.214913,3.889868,4.185533,3.966041,4.097204,2.823622,3.995367,3.717883,3.913754,3.154886,3.780636,3.835728,3.408077,3.470354,3.467957,3.104911,3.274483,2.937189,4.458425,3.906883,3.977978,4.448534,3.623319,4.075778,4.144171,3.997434,4.375038,6.222586,4.482727,4.516661,3.910451,4.066971,4.142855,4.18257,3.758943,3.788668,4.281811,5.435315,4.284759,3.848155,4.248874,4.811908,4.644262,4.417259,4.137116,3.952974,3.601578,3.806467,3.795178,4.25872,3.944675,4.152315,4.096727,3.971229,4.892993,4.299113,4.437465,3.958445,4.091797,3.978356,4.023362,4.409575,3.369029,3.347116,3.747924,4.623553,4.255836,3.12995,3.522517,3.839758,3.771866,3.806976,3.539342,3.1683,3.594526,3.767025,3.90626,2.314066,3.947057,3.700668,3.645927,4.021326,4.03458,3.373484,3.119021,4.567474,3.768257,3.549462,3.887268,3.407173,3.646116,3.701456,3.401706,3.493235,3.507608,3.223921,3.752364,4.261989,3.78368,3.607469,4.252446,4.458713,3.461641,3.782834,3.420089,4.092504
hsa-miR-1825,5.566535,4.554719,5.371722,5.782345,5.38267,4.757406,4.991752,5.409814,6.313673,5.05514,5.990424,4.836469,5.18521,4.819268,5.324138,5.088393,4.841705,4.769122,6.539682,5.253011,5.115573,5.492823,5.343977,5.489916,5.076878,5.822417,4.927978,5.382853,6.412244,5.181951,4.58852,5.356127,5.526875,5.543062,6.178286,5.571835,5.464432,5.811403,5.320652,5.575267,7.608284,4.972214,5.328758,5.170782,7.157747,6.373114,6.239578,4.983733,5.70062,7.180387,4.851768,6.279788,7.127349,5.854407,6.176734,5.840713,5.411165,6.579407,4.647182,4.813723,5.533354,5.24588,6.951785,5.753934,5.548808,5.643319,4.958917,6.513537,5.37709,7.087242,6.066296,6.029971,5.461989,4.689565,5.068642,6.95424,5.404992,5.732103,4.887489,6.439976,6.13718,6.024062,6.210636,7.172633,4.582953,5.433192,5.008851,5.716815,5.393462,4.776307,5.748113,6.011034,5.590238,6.170802,5.666237,5.561778,5.588359,5.916387,5.813812,4.765211,4.749546,4.738912,6.086813,5.8996,5.550429,5.654489,5.721807,6.405328,6.64769,5.327991,5.727058,5.651057,5.239239,5.929397,5.043555,5.385083,5.933003,5.153574,5.631257,5.548853,5.703292,5.520157,5.897713,5.700367,4.480572,5.606922,5.902848,5.363073,5.516266,5.938218,5.071913,4.86312
hsa-miR-1826,14.11709,14.5471,14.60401,14.96936,14.06311,13.77838,13.60201,14.04853,14.95379,14.55674,15.15036,13.44396,12.78418,13.78465,13.96316,14.29091,13.96829,14.01081,14.93126,13.92103,14.10928,13.9392,14.08875,13.90906,14.15394,14.08976,13.87413,14.13934,14.79483,14.34432,14.3869,14.58929,14.73726,14.41634,14.68904,14.16378,14.35475,15.13625,14.04582,13.89679,14.9187,13.54267,13.76047,13.57647,7.927011,9.633262,8.202374,9.300154,9.917353,9.03657,12.07347,9.919229,9.684282,9.474724,10.72539,11.10267,9.734736,10.39499,12.76134,10.1864,9.526261,9.755201,10.65646,9.155358,9.179857,8.788947,9.296296,10.14389,9.436571,8.396888,9.436796,9.366928,9.692489,9.546798,9.783078,10.13729,9.568711,10.21097,9.296373,10.09834,9.633642,9.785072,10.48442,10.23566,11.1299,9.804062,9.99087,9.780337,14.69708,15.08711,14.71535,14.97069,15.12105,15.1402,15.05869,14.99603,14.84234,14.57232,14.61017,14.40421,14.11526,14.28956,14.89636,14.6224,15.01911,15.00316,14.61468,15.16276,15.13508,14.86748,15.0069,14.7867,14.75646,14.96102,14.44714,14.91102,14.88346,14.5571,14.6245,14.87015,14.89804,14.60838,14.82103,14.75589,14.29883,14.81429,14.64485,14.72439,14.90291,14.67799,14.7782,14.70102
hsa-miR-1827,4.313998,4.896426,3.676322,3.446647,3.689409,4.032975,4.415302,3.62392,3.727114,4.090858,4.084407,3.992775,5.03819,4.298606,4.7148,4.829294,4.700875,3.008529,4.064844,4.145538,3.476609,4.52416,4.100537,4.389553,4.803665,4.065358,4.564115,3.804288,4.915445,4.084626,4.066516,3.549487,4.070039,4.603096,4.057368,4.701375,4.528711,4.163224,3.467487,4.789147,4.509057,4.914411,4.38362,4.370695,3.971785,4.451325,4.560456,3.83187,4.412228,4.663176,3.777722,4.080302,4.573316,4.419404,4.046885,4.615287,3.934367,4.205931,4.010472,4.797512,4.128459,5.591632,5.071412,4.431128,4.149686,4.260964,3.917289,3.99667,4.350744,3.92974,4.546086,3.901383,3.954017,4.168164,3.965946,3.858326,3.670799,4.237017,4.452563,3.912381,4.323714,4.255161,3.962485,4.6196,3.803531,4.560726,3.705494,3.42445,4.005877,4.22087,3.557432,4.448864,4.206656,4.389081,3.676753,3.583286,3.93182,4.318883,4.295358,4.079026,3.705898,4.290314,3.905515,4.496983,3.844275,3.584539,3.577737,4.306763,4.263178,3.84687,4.183677,4.15331,4.287905,4.44734,4.049287,4.234377,4.428936,3.177592,3.69626,3.730351,2.633512,3.582701,3.651863,3.377978,3.884885,3.821722,3.590757,3.847125,3.878596,4.344312,3.856331,3.750216
hsa-miR-182,10.05551,9.902081,9.920177,9.93442,10.40682,10.76031,10.92757,10.03954,8.809576,10.18722,9.103027,10.47027,10.83483,10.21878,10.23796,9.281397,10.6145,10.01062,10.32872,9.97196,9.763898,9.966745,11.30582,10.89921,10.14637,9.950494,9.96664,9.760191,10.94584,10.77709,10.82407,9.018439,11.05285,9.63465,10.4302,10.29309,10.73956,8.358831,10.46965,10.53641,11.13804,10.10603,10.25665,10.04393,6.093727,4.474186,4.434531,5.360532,5.568614,5.984738,5.61061,5.240031,5.254309,4.96184,5.165151,5.758595,4.793566,5.070122,5.192038,6.593694,4.798842,5.032447,5.376284,5.051567,5.862353,4.542368,5.794695,4.892416,5.559002,4.894511,5.432576,5.072948,5.098989,5.894505,5.30017,5.034056,5.799562,5.048874,5.805615,5.790275,4.949238,4.974738,5.224549,6.198546,5.540995,5.242178,5.417393,5.101405,7.81219,7.215599,9.105221,7.993517,7.463888,7.776805,8.598563,8.418197,8.531138,9.08491,8.928634,8.072528,9.420156,8.16572,7.55282,7.207226,8.223833,7.860229,9.530853,7.48276,7.544154,7.408661,9.214496,8.545624,8.301441,7.731245,7.698516,7.558892,7.887484,8.363652,8.879434,8.1171,9.129751,8.653994,7.418497,8.172623,8.141025,6.852643,8.327504,8.317373,8.269678,7.441397,7.064391,7.810128
hsa-miR-183-star,3.620996,4.226429,3.668163,4.604551,4.050033,4.041265,3.698092,4.468448,3.950534,4.192738,3.927343,4.150793,4.606431,4.242096,3.993531,3.640659,4.008352,3.377079,4.52751,4.358618,4.313982,4.385463,3.965876,4.283293,4.18176,3.654136,3.981581,4.22337,3.729334,4.190435,3.391804,4.30454,3.84486,4.033655,3.91023,4.113319,3.962198,3.499864,3.688994,4.066172,3.609054,4.049356,4.03728,4.069955,4.37836,4.170085,3.977978,5.257018,4.58993,4.075778,4.21402,5.009118,4.072251,5.357095,4.681109,4.125853,3.96794,4.35042,4.032908,3.980419,4.412987,4.423944,4.472146,4.488892,4.387992,5.050102,4.020188,3.648552,4.41261,3.974639,4.096925,4.600759,4.338536,4.460409,4.019846,4.131955,4.234947,4.553257,3.786765,4.022195,3.965266,3.892372,4.343767,4.603104,3.919731,4.023125,4.683466,4.368737,4.377895,4.464598,3.424655,3.481534,4.394262,4.36121,4.349662,3.791646,4.169606,4.168495,4.255374,4.548392,4.126655,4.546621,4.305442,4.156975,4.359784,4.079832,4.199214,4.270069,4.154225,4.032548,3.762982,4.852983,4.683818,4.600843,4.294173,4.150507,4.338196,4.301796,4.301613,4.440983,5.015283,4.497606,4.395495,4.482359,3.710198,4.43959,3.649722,4.139328,4.719133,4.395366,4.474548,4.137444
hsa-miR-183,4.500419,4.382313,3.673964,6.096258,4.573576,4.72367,4.620436,5.511324,4.425439,4.772246,4.476143,3.790626,6.24362,3.793294,4.294744,3.82004,4.009661,3.902941,6.359174,4.380974,4.284693,3.867683,4.167098,5.501653,4.302863,3.833749,4.099488,4.482568,3.924932,4.901114,5.57441,4.855801,6.293472,4.575654,4.289415,5.212007,4.167916,3.556711,4.469091,5.175788,5.192302,3.379993,4.747063,4.673991,4.018521,3.597079,4.161702,4.277183,4.12673,3.78296,4.108574,4.051822,4.303432,4.162566,4.542325,4.229147,4.227418,4.251726,3.859742,4.60612,3.449517,3.976247,3.922053,4.041208,4.476419,3.671363,4.436405,4.846358,4.41261,4.615363,4.136927,3.904557,4.045037,3.860472,4.073924,4.25872,4.024144,4.107109,4.215793,4.285208,4.154575,3.678726,4.502938,4.506521,3.939316,3.584939,4.014195,3.788404,4.110559,4.504492,4.271648,5.162819,3.804688,4.34504,4.400224,5.45239,4.983096,4.908922,4.036625,4.445324,5.331795,4.267892,4.134342,4.401799,4.08844,3.906075,4.988022,3.405044,4.191713,4.356781,4.511554,4.299635,4.159342,3.829281,3.768569,4.389496,3.647589,4.372032,4.430973,5.118112,6.042042,3.79582,4.116976,4.553254,4.33682,3.824045,4.459267,4.721239,2.962331,3.002824,3.947818,4.220015
hsa-miR-184,4.239352,4.382313,3.678199,3.09587,3.83203,3.635842,3.485715,3.825128,3.405683,4.267225,2.810549,3.255196,3.728975,3.300977,4.541615,3.873542,3.993843,4.262433,3.645078,3.411539,4.005952,4.527114,3.195787,3.04007,3.454635,4.145274,3.599169,3.434631,4.292003,3.363474,3.219283,2.99945,3.531446,3.772166,3.681083,3.084638,3.74439,3.556711,3.582857,3.884979,4.371253,4.04795,4.094488,4.174364,3.975324,4.016747,4.549356,3.64095,4.169335,3.566011,3.945221,4.445229,3.803783,4.119205,3.888088,3.473224,3.853837,3.906243,3.72835,3.314399,4.157215,4.360275,3.805288,4.393688,3.791023,4.887746,4.158526,4.35642,4.24896,3.693095,4.170899,3.955183,3.653848,4.3121,4.412186,4.518482,3.896153,3.72475,4.788303,4.125768,4.514152,4.132321,3.552935,4.498119,4.249931,3.809691,3.96253,3.986589,3.445876,3.348809,3.620749,3.730831,3.991334,3.555481,3.817232,3.978858,3.716671,3.60157,3.836729,3.879304,4.093711,3.667212,4.050988,3.375723,3.619415,3.250232,3.510126,3.877642,3.143172,3.84687,3.439341,3.752262,4.344845,3.650657,4.29347,3.923697,3.145227,3.322941,3.641788,3.945065,3.773156,3.226254,4.079473,3.693716,3.825641,3.422501,3.520837,3.616524,3.971953,3.782834,3.654251,4.180357
hsa-miR-185-star,9.333131,7.963727,8.328585,7.700026,9.165198,9.148816,9.926968,8.676141,7.646892,8.082746,7.612021,9.286963,9.559824,9.014917,9.13757,8.655137,9.384374,7.852159,6.946234,8.813659,8.785598,9.115744,8.254572,8.49396,8.179287,8.431856,8.780201,8.073025,8.166077,7.789282,8.22888,7.741361,7.80333,7.955916,8.289283,8.323765,8.336137,7.601851,8.61358,9.427701,7.953773,8.802622,8.852057,8.302919,3.232294,3.666831,4.036503,3.938315,3.739004,3.973142,3.718661,3.785747,4.317064,3.813498,3.842095,4.170541,3.666103,3.265424,4.450665,4.136374,4.029808,4.467101,3.609927,3.411138,3.953146,4.164827,3.813768,4.107294,3.759616,3.974639,3.79458,4.027576,4.104896,4.474069,3.680076,3.673074,4.388708,3.612474,3.565224,3.550354,3.933867,3.734529,3.800193,3.546211,4.119895,3.761751,3.865838,4.509308,7.201807,6.645292,7.12954,7.065345,5.921265,6.918321,7.235682,6.896852,7.802094,6.993183,7.357402,7.143062,7.929704,7.305047,6.555725,7.097207,6.750617,7.181427,7.570528,6.821406,6.870629,7.24042,5.460439,7.306795,6.795134,7.033462,6.840623,6.728512,7.08853,7.258145,7.51637,6.67286,6.333577,7.151291,7.521567,7.299996,6.871526,7.003165,7.67978,8.189633,7.110185,7.099221,6.412533,6.915675
hsa-miR-185,14.76664,14.30485,14.50253,14.47367,14.82485,14.80522,14.95611,14.64874,14.42114,14.49593,14.46296,14.85579,14.98973,14.76735,14.79383,14.68205,14.82371,14.62239,14.38264,14.71355,14.73956,14.80597,14.40739,14.60801,14.53332,14.63708,14.75236,14.6754,14.62661,14.50378,14.48451,14.37175,14.71326,14.54252,14.76458,14.62585,14.74734,14.40604,14.69656,14.81503,14.42118,14.78592,14.76429,14.57646,8.103233,7.72174,7.880158,8.90862,9.033154,8.446378,8.256159,8.284143,8.231615,8.300666,8.151646,8.472061,9.091604,6.74208,8.171922,9.047178,8.299664,9.205034,8.130991,8.52486,9.021341,9.024714,8.405116,9.079489,7.354333,8.352344,8.439975,8.458025,8.293795,8.122489,7.30779,7.415471,8.204049,7.914359,8.561487,7.779588,8.526929,7.875145,7.855765,7.581687,7.984646,7.652367,8.701427,8.200637,14.00794,13.36572,14.11422,13.52376,13.44153,13.68946,13.8562,13.42202,14.06009,13.91702,14.1353,13.8725,14.22857,14.04254,13.63381,13.67663,13.71465,13.64098,13.99871,13.51633,13.50342,13.74021,13.38917,13.70823,13.77808,13.68517,13.7812,13.61368,13.62551,13.74029,14.07734,13.70635,13.80203,13.89458,13.77171,13.95268,13.74883,13.75851,13.7148,14.0195,13.67263,13.72357,13.66041,13.70566
hsa-miR-186-star,3.564404,4.485848,4.526093,3.997687,3.965875,4.158765,3.963832,4.081527,4.095623,4.486796,4.326289,3.719117,3.850901,4.426338,3.160707,4.243099,3.670388,4.115469,3.885233,3.81681,4.140458,3.990927,4.395617,3.909523,4.499981,4.241364,4.447846,4.252886,4.65813,4.13511,4.507275,4.502642,3.903262,3.818285,5.116811,4.696154,4.13674,4.066987,4.390632,4.572275,4.718154,4.692459,4.321836,3.623384,4.298488,4.170085,3.977978,4.270235,4.597299,4.475978,4.027384,4.889922,4.187139,4.014408,4.418764,4.793818,4.33215,4.543625,3.945755,4.096806,3.706048,4.308344,4.030698,4.363832,4.239304,4.202045,4.711555,4.251571,4.298372,4.074739,4.139421,4.434915,4.467605,4.2605,4.277375,4.713239,3.717545,3.827883,3.979885,4.213896,4.015475,4.035191,4.112216,4.68457,4.069422,4.009873,3.869963,3.891749,4.569984,4.502003,4.430253,4.630777,3.680456,4.053607,4.161161,4.41132,3.931927,4.515687,4.083147,4.705599,3.851271,4.479695,4.641548,3.725728,3.896387,3.90721,4.178697,4.190223,3.605288,4.076829,4.839942,4.146141,4.42379,3.993316,3.996907,4.024761,4.186413,4.163036,4.604929,4.184278,4.12806,4.280801,4.116976,4.375667,3.734676,4.043044,3.649722,4.52753,4.051961,4.261992,4.19075,3.68177
hsa-miR-186,6.831575,6.784228,6.973244,6.709113,7.022229,7.104197,7.53099,7.165576,7.024505,7.051759,6.345072,7.467781,8.256982,7.109713,7.114118,7.543221,7.080181,6.909571,6.337654,7.316368,7.209055,7.158536,7.077492,7.16449,7.100618,7.167531,7.736306,7.679751,6.487385,6.370122,6.365743,7.416956,5.97305,7.382918,4.367277,7.60243,6.217698,6.899333,7.349551,7.398335,4.66785,7.883367,7.512601,7.856802,4.331322,4.494866,4.434531,4.495086,4.208745,4.735838,4.578158,4.34082,4.325357,3.923086,4.246395,4.512326,3.667759,2.917161,4.355006,3.9749,4.224432,3.69019,3.921373,4.4383,3.953146,3.850658,3.813768,3.9979,4.037523,4.470504,3.952893,3.617929,4.22494,4.214299,4.270854,4.228213,4.466799,4.211164,4.209063,3.799049,4.154575,4.339677,4.204737,4.30861,4.163002,3.643463,4.226931,4.535159,6.588055,6.473279,5.912303,6.18364,6.632224,6.170802,6.790454,6.938236,6.064696,6.873113,6.388044,6.475561,6.606891,6.755556,6.471218,6.847305,6.891631,6.907357,5.29063,6.66416,6.751899,6.395568,6.702271,6.668962,6.734769,6.692717,6.494125,6.320493,6.695093,6.866517,6.396678,6.860844,6.926803,6.582175,6.424852,6.364756,7.652619,6.664399,5.667724,6.399822,6.546343,6.513831,6.739254,6.335008
hsa-miR-187-star,4.652277,5.163254,4.119508,5.141492,3.149709,3.93937,4.913515,4.617267,5.046262,5.308407,5.091727,4.700988,3.981579,4.182242,4.82316,5.105041,4.811453,4.974127,5.932798,5.248881,4.746639,4.345622,4.459761,3.907158,4.98951,4.003735,4.447134,5.223349,4.823259,4.964027,4.507586,5.227789,4.6499,4.487996,4.291277,5.011643,5.070786,4.580635,5.010098,4.953953,4.257679,5.098108,4.185718,5.103971,5.290109,4.120791,4.019956,4.4876,4.253717,4.279058,4.183781,4.104248,4.354201,4.549258,4.437335,4.364586,4.125989,4.641454,4.170629,5.005231,3.934657,4.423998,4.327446,4.150281,4.426124,5.025886,4.563168,4.155694,4.568769,4.714736,3.422695,4.514954,4.525407,4.597893,3.407687,3.968395,5.181681,3.494875,4.117298,3.979006,4.160079,4.506631,4.587129,4.163649,4.352219,4.838301,4.70518,4.452049,5.198534,4.802423,5.316291,5.19888,4.725425,5.605029,4.894832,5.376235,5.323693,4.813686,4.952685,4.889139,5.216723,5.135672,5.303902,5.572547,5.291938,5.053259,5.065273,5.360254,4.877653,5.360753,4.906813,4.628792,5.134618,5.565312,5.354702,5.135132,4.972067,5.792128,5.077873,5.302009,4.922054,4.578318,4.801757,5.358237,4.413247,5.344518,5.340338,5.42987,5.035388,5.624316,5.659301,4.944925
