ID,AR-30,AR-33,AR-41,AR-43,AR-44,AR-46,AR-50,AR-52,AR-57,AR-58,AR-84,AR-85,AR-86,AR-87,N-18,N-20,N-27,N-31,N-37,N-45,N-48,N-49,N-51,N-53,N-54,N-55,N-56,N-64,N-65,N-92,CTL01_LVntr_1,CTL24_HPntr_1,PMC01_PCntr_1,RBC01_PCntr_1,HUV01_PCntr_1
hsa-miR-335-5p,337,1338,163,240,1,46,769,533,1992,1,1374,17427,0,1873,57,686,0,297,301,52,274,575,282,608,1620,0,0,1737,0,399,519,265,266,93,216
hsa-miR-337,0,0,5,0,0,0,0,7,0,0,0,838,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,72,6,291,0,98
hsa-miR-337*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,34
hsa-miR-338-3p,32,0,25,39,0,76,0,3,569,0,0,0,0,0,6,0,0,165,374,15,267,0,0,0,886,0,0,0,0,0,306,21,62,0,2
hsa-miR-338-5p,72,0,229,91,0,0,1328,291,539,0,497,2606,311,1,25,615,0,291,542,56,0,715,0,1866,1384,0,0,0,0,503,77,18,46,1,4
hsa-miR-339-3p,816,1,529,470,1,31,2606,1107,3030,0,2606,11783,1450,3502,187,479,0,1084,1808,219,674,562,271,930,1936,0,607,0,0,1186,166,53,240,100,419
hsa-miR-339-5p,471,0,1322,956,1,34,4806,2839,2301,0,2639,37547,2043,3250,159,678,0,1605,1336,139,161,4732,0,425,3143,0,0,0,539,1645,54,57,321,49,104
hsa-miR-33a,44,16,53,59,0,10,1,534,0,0,287,5936,660,0,0,588,0,46,75,0,0,829,0,0,0,0,9,0,0,6,147,88,38,1,140
hsa-miR-33a*,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,56,16,70,0,15
hsa-miR-33b,106,510,30,4,0,0,629,253,716,0,519,10401,1008,1,0,0,0,0,12,0,381,376,0,0,0,0,0,0,0,0,18,60,13,3,53
hsa-miR-33b*,16,0,34,0,0,0,0,341,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,34
hsa-miR-340,121,4,130,114,0,6,992,776,0,0,900,7310,0,1163,30,164,0,164,409,4,0,0,0,605,10,0,0,0,0,3144,1633,773,2592,297,1246
