"Organ_marker","study","Est","SE","t","P","CI_l","CI_h","weights"
"pancreas (miR-2355-3p) miR-TS vs. adipocyte","DFTJ",0.199869939320087,0.0884113365214875,2.26068225166476,0.0255367227344373,0.0248651196086534,0.37487475903152,25.7428899304899
"pancreas (miR-2355-3p) miR-TS vs. adipocyte","NAS",0.0806346056385434,0.0423202392643276,1.90534380334923,0.0572279177503862,-0.00248439247729697,0.163753603754384,45.161738876249
"pancreas (miR-2355-3p) miR-TS vs. adipocyte","SY",-0.0483930805188741,0.0787520272772375,-0.614499488991081,0.539780514613588,-0.203950976205922,0.107164815168174,29.0953711932611
"pancreas (miR-2355-3p) miR-TS vs. adipocyte","pooled",0.073788142116859,0.0600621684159645,1.22852943979369,0.219248284897104,-0.0439315448118105,0.191507829045528,200
"skin (miR-301a-5p) miR-TS vs. adipocyte","DFTJ",0.221878559494298,0.0869160831112761,2.55279059469619,0.0119093006510061,0.0498335022270549,0.393923616761542,30.9518465541029
"skin (miR-301a-5p) miR-TS vs. adipocyte","NAS",-0.0262158986688428,0.0412788705115483,-0.63509244182223,0.525617724034781,-0.10728959815441,0.0548578008167244,36.4059486132526
"skin (miR-301a-5p) miR-TS vs. adipocyte","SY",0.329255438910047,0.0743783496288536,4.42676451619355,1.78945890239088e-05,0.182336814044573,0.47617406377552,32.6422048326445
"skin (miR-301a-5p) miR-TS vs. adipocyte","pooled",0.166607599464888,0.109941801197798,1.51541631708527,0.129667007770204,-0.0488743712782582,0.382089570208034,200
"stomach (miR-6741-3p) miR-TS vs. adipocyte","DFTJ",0.112093437986891,0.0964110315967162,1.16266194988738,0.247217505862151,-0.0787462876253998,0.302933163599183,30.237286489842
"stomach (miR-6741-3p) miR-TS vs. adipocyte","NAS",-0.24113352757591,0.0407236565006715,-5.9212150454106,5.46547142756577e-09,-0.321116759873054,-0.161150295278765,37.2150670886181
"stomach (miR-6741-3p) miR-TS vs. adipocyte","SY",0.0304895714065717,0.0800248106534583,0.381001481385624,0.703720511712617,-0.127582437383538,0.188561580196681,32.5476464215398
"stomach (miR-6741-3p) miR-TS vs. adipocyte","pooled",-0.0459203521832629,0.110974753938626,-0.413790979961613,0.679027190410898,-0.263426873096165,0.171586168729639,200
"kidney (miR-30a-5p) miR-TS vs. adipocyte","DFTJ",-0.0196778005088757,0.0895497454427206,-0.219741557182453,0.826436704890505,-0.196936030878453,0.157580429860702,29.5510902539634
"kidney (miR-30a-5p) miR-TS vs. adipocyte","NAS",-0.233416696140048,0.041945284789251,-5.56478987597348,4.00846086626115e-08,-0.315799265519918,-0.151034126760179,38.9022997809663
"kidney (miR-30a-5p) miR-TS vs. adipocyte","SY",0.03347390198964,0.0798240282165474,0.419346188579104,0.675540030938884,-0.124201503761073,0.191149307740353,31.5466099650703
"kidney (miR-30a-5p) miR-TS vs. adipocyte","pooled",-0.0860595861588397,0.0877241143599013,-0.981025420282585,0.3265802060703,-0.257995690879919,0.0858765185622398,200
