"Organ_marker","study","Est","SE","t","P","CI_l","CI_h","weights"
"artery (miR-140-3p) miR-TS vs. cognitive impairment","pooled",-0.178718888898231,0.136445404319467,-1.30981977582614,0.190256811458363,-0.446146967220392,0.0887091894239302,200
"bone (miR-223-3p) miR-TS vs. cognitive impairment","NAS",-0.0892144970035158,0.181254273840012,0.492206308372419,0.627379711702283,-0.464799203139574,0.286370209132542,100
"bone (miR-223-3p) miR-TS vs. cognitive impairment","pooled",-0.0892144970035158,0.181254273840012,-0.492206308372419,0.622573505326227,-0.4444663457739,0.266037351766868,200
"pancreas (miR-2355-3p) miR-TS vs. cognitive impairment","NAS",-0.3546243428352,0.208816396896828,1.69825908360258,0.103940866006686,-0.788364840866336,0.079116155195936,100
"pancreas (miR-2355-3p) miR-TS vs. cognitive impairment","pooled",-0.3546243428352,0.208816396896828,-1.69825908360258,0.0894588735647261,-0.763896960134404,0.0546482744640043,200
"skin (miR-301a-5p) miR-TS vs. cognitive impairment","NAS",-0.252188972693651,0.238412996110166,-1.05778198675512,0.290154846943387,-0.711841569248546,0.235184272190373,100
"skin (miR-301a-5p) miR-TS vs. cognitive impairment","pooled",-0.252188972693651,0.238412996110166,-1.05778198675512,0.290154846943389,-0.719469858515864,0.215091913128562,200
"stomach (miR-6741-3p) miR-TS vs. cognitive impairment","NAS",-0.207367332868977,0.230998407283793,-0.897700271215359,0.369345364837174,-0.649656610975406,0.266183760472155,100
"stomach (miR-6741-3p) miR-TS vs. cognitive impairment","pooled",-0.207367332868977,0.230998407283793,-0.897700271215359,0.369345364837174,-0.660115891631326,0.245381225893372,200
"kidney (miR-30a-5p) miR-TS vs. cognitive impairment","NAS",-0.134145561768126,0.239709281424715,-0.559617720977803,0.575740214905014,-0.604561695479942,0.328957306961694,100
"kidney (miR-30a-5p) miR-TS vs. cognitive impairment","pooled",-0.134145561768126,0.239709281424715,-0.559617720977804,0.575740214905014,-0.603967120120544,0.335675996584292,200
"liver (miR-122-3p) miR-TS vs. cognitive impairment","NAS",0.437745667888044,0.0691734348386673,-6.3282337924811,1.35696159284134e-08,0.300077311099897,0.575414024676191,100
